Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
S0009038,C0009038,Nestlé,Milk Powder,Brazil,South America,3,Food & Beverage,59.27,43.27,77.59,56.95,0.9079,870.91,0.46,0.41,2,1,29,32119,0.9,0.019,71.46,1.82,88.55,0.16,61.45,0,7070.0,Moderate
S0002859,C0002859,Nestlé,Coffee Beans,Indonesia,Asia-Pacific,1,Food & Beverage,62.58,69.1,63.19,51.37,0.9629,1107.37,0.56,0.15,1,1,23,31622,0.85,0.027,76.33,0.41,77.89,0.9,74.48,5,6067.0,High
S0006549,C0006549,Tata Steel,Steel Billets,Indonesia,Asia-Pacific,2,Metals,61.39,22.58,79.87,81.71,0.9158,86.97,0.46,0.92,3,0,44,4559,0.85,0.03,65.01,1.21,62.38,0.27,67.62,0,8440.0,Moderate
S0001276,C0001276,Bunge Limited,Sunflower Seeds,Indonesia,Asia-Pacific,2,Agriculture,56.22,48.26,79.78,40.63,0.6286,915.54,0.66,0.19,0,0,23,3138,0.88,0.029,75.41,1.01,79.22,0.18,68.91,1,2240.0,Moderate
S0001872,C0001872,Bunge Limited,Soybeans,Malaysia,Asia-Pacific,3,Agriculture,61.52,76.29,50.38,57.9,0.7772,780.98,0.52,0.44,0,1,38,35514,0.84,0.035,69.09,0.95,87.7,0.4,61.77,1,336.0,Moderate
S0008251,C0008251,Yara International,Ammonia,Japan,Asia-Pacific,3,Chemicals,73.41,94.99,48.71,76.52,0.6658,698.24,0.72,0.27,0,1,14,25606,0.94,0.024,55.78,1.46,55.58,0.5,80.17,0,6067.0,Low
S0005943,C0005943,Louis Dreyfus Company,Wheat,Brazil,South America,1,Agriculture,47.45,46.57,39.98,55.81,0.4506,1410.15,0.61,0.24,1,1,38,39306,0.96,0.058,75.01,1.57,85.71,0.51,83.07,2,1220.0,Moderate
S0002508,C0002508,Bunge Limited,Soybeans,Malaysia,Asia-Pacific,1,Agriculture,67.09,57.11,64.6,79.55,0.1714,1346.39,0.37,0.5,3,1,26,33955,0.81,0.034,88.01,0.35,40.57,0.19,80.21,1,5200.0,Low
S0007169,C0007169,Syngenta,Seeds,Brazil,South America,2,Agriculture,58.7,27.7,58.53,89.88,0.658,1330.55,0.7,0.27,1,1,27,25376,0.97,0.022,66.56,1.76,83.27,0.35,65.18,0,3048.0,Moderate
S0001806,C0001806,Syngenta,Seeds,Brazil,South America,2,Agriculture,60.78,67.17,46.24,68.93,0.8202,845.45,0.67,0.5,3,0,27,42907,0.91,0.018,83.45,0.99,60.71,0.82,62.09,0,7262.0,Moderate
S0005811,C0005811,Samsung Electronics,Semiconductors,Brazil,South America,3,Electronics,48.4,59.95,51.23,34.03,0.6333,780.21,0.75,0.32,2,1,10,4703,0.96,0.041,79.06,1.11,51.45,0.2,62.78,1,9177.0,Moderate
S0007904,C0007904,Nestlé,Milk Powder,Brazil,South America,3,Food & Beverage,62.55,45.5,64.29,77.85,0.6046,1415.03,0.93,0.14,0,1,19,19320,0.87,0.032,63.77,0.92,87.97,0.43,70.39,2,1160.0,Moderate
S0008782,C0008782,Bunge Limited,Soybeans,Brazil,South America,1,Agriculture,65.34,86.87,50.12,59.03,0.4446,1383.63,0.59,0.0,1,1,30,31296,0.89,0.051,85.22,1.02,60.01,0.57,67.59,0,2243.0,Low
S0002300,C0002300,Yara International,Ammonia,India,Asia-Pacific,1,Chemicals,64.75,66.06,66.22,61.98,0.4215,741.27,0.76,0.43,3,1,17,35841,0.9,0.001,63.56,0.97,71.78,0.52,87.33,0,10809.0,Moderate
S0003641,C0003641,Foxconn,Electronic Components,India,Asia-Pacific,2,Electronics,64.69,70.73,52.92,70.41,0.509,827.34,0.47,0.29,0,1,12,28923,0.92,0.021,73.51,1.04,69.5,0.56,71.88,2,4005.0,Moderate
S0002446,C0002446,Wilmar International,Soybeans,Malaysia,Asia-Pacific,3,Agriculture,64.54,85.56,46.6,61.45,0.9772,470.68,0.49,0.37,3,0,19,39559,0.89,0.025,100.0,1.71,96.24,0.5,91.54,2,8861.0,Moderate
S0008138,C0008138,Yara International,Ammonia,Malaysia,Asia-Pacific,1,Chemicals,53.5,51.62,52.14,56.74,0.6519,1464.47,0.57,0.28,3,1,43,42345,0.89,0.023,93.51,0.74,50.64,0.59,53.36,2,1332.0,Moderate
S0002246,C0002246,Archer Daniels Midland,Corn,India,Asia-Pacific,3,Agriculture,54.1,45.26,58.3,58.75,0.4003,1451.89,0.76,0.61,1,1,7,14391,0.97,0.027,59.78,0.45,94.63,0.58,56.15,0,3879.0,Moderate
S0001185,C0001185,Wilmar International,Soybeans,Japan,Asia-Pacific,2,Agriculture,71.53,82.15,44.93,87.52,0.8675,924.41,0.65,0.29,1,0,21,25433,0.95,0.024,40.5,0.6,83.51,0.64,85.41,0,7646.0,Low
S0007868,C0007868,Cargill,Corn,Brazil,South America,2,Agriculture,68.68,78.07,67.44,60.52,0.7402,1479.18,0.43,0.6,2,1,47,23908,0.87,0.03,44.9,1.27,74.69,0.49,77.18,1,4996.0,Low
S0005109,C0005109,Archer Daniels Midland,Wheat,USA,North America,1,Agriculture,64.41,67.35,81.56,44.31,0.2474,889.07,0.58,0.37,1,0,6,47962,0.81,0.022,97.73,1.81,77.17,0.55,70.67,3,8293.0,Moderate
S0006929,C0006929,Yara International,Fertilizers,Indonesia,Asia-Pacific,3,Chemicals,49.09,48.37,37.77,61.14,0.2335,673.19,0.56,0.52,3,0,15,3572,0.86,0.031,89.69,0.78,98.23,0.5,47.55,0,1388.0,Moderate
S0009004,C0009004,Yara International,Ammonia,India,Asia-Pacific,3,Chemicals,65.95,37.88,91.39,68.58,0.3484,358.27,0.49,0.48,0,0,7,13233,0.91,0.049,67.8,0.54,59.91,0.13,64.95,1,270.0,Low
S0000460,C0000460,Yara International,Fertilizers,Malaysia,Asia-Pacific,1,Chemicals,51.25,38.82,39.17,75.77,0.0961,373.28,0.55,0.14,3,0,15,14386,0.84,0.043,70.24,0.88,81.65,0.57,71.22,1,3207.0,Moderate
S0002305,C0002305,Tata Steel,Iron Ore,China,Asia-Pacific,2,Metals,52.15,52.38,63.7,40.36,0.2428,780.21,0.64,0.23,0,1,6,43987,0.89,0.0,83.65,0.98,67.99,0.56,79.7,1,5954.0,Moderate
S0000262,C0000262,Tata Steel,Steel Billets,Japan,Asia-Pacific,2,Metals,63.27,72.79,63.13,53.9,0.677,703.01,0.49,0.66,3,1,16,30624,0.84,0.037,75.94,1.65,65.18,0.7,58.83,1,8784.0,Moderate
S0008990,C0008990,Yara International,Ammonia,India,Asia-Pacific,3,Chemicals,75.97,83.14,82.98,61.79,0.8032,863.0,0.48,0.1,1,0,36,6954,0.9,0.031,80.53,1.37,83.35,0.88,88.23,1,10235.0,Low
S0008942,C0008942,Louis Dreyfus Company,Rice,USA,North America,2,Agriculture,84.78,100.0,72.89,81.44,0.2055,461.23,0.52,0.4,0,1,33,5201,0.97,0.054,62.94,0.72,84.3,0.82,60.54,2,2382.0,Moderate
S0008358,C0008358,Olam International,Cocoa,China,Asia-Pacific,1,Agriculture,71.53,98.33,59.88,56.39,0.8762,228.32,0.91,0.14,3,1,20,2245,0.86,0.016,85.95,1.25,77.31,0.33,70.84,1,11832.0,Low
S0001085,C0001085,Olam International,Cocoa,Brazil,South America,2,Agriculture,65.07,51.21,70.38,73.61,0.1337,1466.45,0.68,0.07,0,0,34,24779,0.9,0.005,100.0,0.86,54.5,0.63,70.39,0,3211.0,Low
S0005127,C0005127,Archer Daniels Midland,Soybeans,USA,North America,3,Agriculture,51.46,31.28,58.44,64.67,0.152,72.35,0.37,0.31,0,0,28,38945,0.85,0.024,71.4,1.28,57.69,0.12,60.53,2,3628.0,Moderate
S0007416,C0007416,Foxconn,Electronic Components,India,Asia-Pacific,3,Electronics,67.38,40.09,88.44,73.6,0.5188,747.31,0.53,0.29,2,1,50,28924,0.95,0.016,78.93,0.2,73.78,0.3,74.67,0,6776.0,Low
S0004680,C0004680,Foxconn,Electronic Components,Indonesia,Asia-Pacific,2,Electronics,44.98,19.29,38.33,77.33,0.1224,569.94,0.61,0.14,0,1,40,39013,0.7799999999999999,0.048,69.03,0.71,66.33,0.38,60.7,0,7517.0,Moderate
S0006742,C0006742,Louis Dreyfus Company,Rice,Indonesia,Asia-Pacific,2,Agriculture,53.24,43.86,62.07,53.8,0.6369,1175.23,0.61,0.72,1,1,27,9168,0.9,0.017,67.98,1.0,62.59,0.6,74.19,2,2028.0,Moderate
S0002620,C0002620,Archer Daniels Midland,Soybeans,Indonesia,Asia-Pacific,3,Agriculture,46.93,46.33,42.64,51.82,0.0601,1157.26,0.64,0.38,3,1,21,18001,0.92,0.039,46.09,0.62,42.32,0.82,65.55,0,11195.0,Moderate
S0005966,C0005966,Cargill,Corn,Brazil,South America,3,Agriculture,71.31,73.78,64.94,75.22,0.6238,999.36,0.41,0.47,0,0,7,11741,0.87,0.025,69.76,0.89,62.24,0.68,68.08,1,8220.0,Low
S0009910,C0009910,Tata Steel,Steel Billets,India,Asia-Pacific,3,Metals,50.01,27.11,84.95,37.97,0.4355,1009.59,0.56,0.15,0,1,45,18407,0.85,0.045,68.51,0.55,76.12,0.82,75.21,1,5428.0,Moderate
S0004869,C0004869,Cargill,Soybeans,Indonesia,Asia-Pacific,2,Agriculture,68.17,51.7,86.46,66.35,0.5801,797.17,0.29,0.22,2,1,36,32524,0.82,0.058,54.23,1.06,55.13,0.36,59.18,1,7954.0,Low
S0000312,C0000312,Archer Daniels Midland,Wheat,USA,North America,1,Agriculture,62.86,85.0,62.58,41.01,0.2534,1376.52,0.66,0.37,3,1,15,48522,1.0,0.038,48.5,1.05,63.01,0.6,67.03,1,5820.0,Moderate
S0000467,C0000467,Syngenta,Seeds,Malaysia,Asia-Pacific,3,Agriculture,54.17,26.91,78.47,57.12,0.6538,527.06,0.71,0.11,3,1,49,16069,0.87,0.015,34.91,1.04,100.0,0.85,70.05,2,857.0,Moderate
S0000722,C0000722,Louis Dreyfus Company,Rice,Brazil,South America,1,Agriculture,64.33,51.05,63.22,78.71,0.3221,1414.77,0.63,0.44,2,0,17,7497,0.97,0.031,75.76,0.5,74.29,0.13,87.45,1,2205.0,Moderate
S0005195,C0005195,Cargill,Corn,Brazil,South America,1,Agriculture,77.7,98.08,65.05,69.96,0.6296,236.48,0.64,0.44,2,0,32,16912,0.99,0.034,94.84,1.17,67.36,0.57,67.74,2,2231.0,Moderate
S0008698,C0008698,Cargill,Corn,China,Asia-Pacific,1,Agriculture,68.98,74.19,48.3,84.46,0.5517,1467.81,0.8,0.61,2,1,21,30105,0.92,0.008,87.46,0.67,87.65,0.1,78.29,1,6149.0,Low
S0000731,C0000731,Archer Daniels Midland,Wheat,India,Asia-Pacific,2,Agriculture,71.71,90.46,61.1,63.57,0.2863,283.69,0.44,0.19,2,1,34,11410,0.89,0.024,100.0,0.53,76.54,0.21,72.98,0,6971.0,Low
S0002740,C0002740,Olam International,Cashew Nuts,India,Asia-Pacific,1,Agriculture,61.4,85.37,52.89,45.94,0.0186,587.47,0.68,0.25,3,1,5,7314,0.98,0.02,55.63,0.84,70.54,0.19,65.58,0,9599.0,Moderate
S0006248,C0006248,Foxconn,Printed Circuit Boards,USA,North America,1,Electronics,72.93,85.4,66.31,67.08,0.1823,1294.95,0.88,0.65,3,1,9,16547,0.99,0.031,67.66,1.17,91.53,0.8,73.02,3,4265.0,Moderate
S0004136,C0004136,Nestlé,Cocoa,China,Asia-Pacific,3,Agriculture,78.15,63.48,74.68,96.29,0.0771,780.21,0.28,0.42,1,0,32,38060,0.88,0.034,100.0,0.44,65.98,0.78,85.3,4,2369.0,Moderate
S0007186,C0007186,Yara International,Ammonia,Brazil,South America,3,Chemicals,62.14,84.66,71.98,29.77,0.3914,512.34,0.59,0.21,3,0,40,47667,0.96,0.038,67.28,1.06,97.43,0.61,51.64,2,6579.0,Moderate
S0009299,C0009299,Sime Darby Plantation,Palm Oil,China,Asia-Pacific,2,Agriculture,61.88,52.82,66.32,66.49,0.1762,716.93,0.81,0.39,0,0,31,3587,0.96,0.033,68.98,0.39,89.32,0.53,77.51,1,9872.0,Moderate
S0002430,C0002430,Yara International,Ammonia,Japan,Asia-Pacific,2,Chemicals,61.12,75.12,50.84,57.41,0.9256,1099.58,0.61,0.28,1,0,32,9508,0.95,0.022,95.09,0.46,78.23,0.34,70.39,0,4285.0,Moderate
S0004901,C0004901,Cargill,Cocoa,india,Asia-Pacific,3,Agriculture,58.61,44.86,56.97,74.0,0.7857,1112.0,0.5,0.18,1,1,10,49132,0.94,0.03,23.74,1.46,76.69,0.81,65.9,0,5151.0,Moderate
S0009441,C0009441,Foxconn,Electronic Components,Brazil,South America,2,Electronics,66.75,43.77,84.62,71.87,0.5933,719.56,0.68,0.13,0,1,44,41222,0.89,0.028,38.76,1.43,93.52,0.16,70.39,1,9961.0,Low
S0001275,C0001275,Wilmar International,Soybeans,USA,North America,1,Agriculture,79.68,60.105000000000004,86.54,64.96,0.3807,1133.79,0.52,0.45,3,0,13,23682,0.97,0.017,86.58,1.21,74.41,0.34,61.83,2,7160.0,Moderate
S0005092,C0005092,Syngenta,Crop Protection Chemicals,China,Asia-Pacific,3,Chemicals,52.86,59.19,55.41,43.98,0.3783,71.75,0.54,0.52,3,1,13,47037,0.9,0.05,88.75,1.95,73.27,0.41,77.48,1,3978.0,Moderate
S9000125,C9000125,Olam International,Cashew Nuts,Brazil,South America,1,Agriculture,68.36,54.48,67.22,83.39,0.8422,713.61,0.55,0.42,0,1,37,2756,0.89,0.004,53.92,1.63,62.04,0.48,79.53,0,3940.0,Low
S0004870,C0004870,Archer Daniels Midland,Wheat,Japan,Asia-Pacific,2,Agriculture,68.05,65.02,85.66,53.48,0.7517,259.93,0.63,0.12,3,1,42,16574,0.96,0.042,95.64,1.22,100.0,0.45,47.53,1,605.0,Low
S0007322,C0007322,Archer Daniels Midland,Corn,Indonesia,Asia-Pacific,2,Agriculture,58.85,61.2,54.75,60.59,0.1342,374.75,0.51,0.47,1,1,17,22631,0.92,0.052,67.23,1.57,35.73,0.62,77.81,1,5871.0,Moderate
S0004518,C0004518,Olam International,Cocoa,Malaysia,Asia-Pacific,2,Agriculture,66.93,64.48,59.31,77.0,0.4312,832.8,0.61,0.18,0,1,23,47153,0.84,0.017,33.83,1.33,70.9,0.43,82.95,1,1396.0,Low
S0002773,C0002773,Yara International,Ammonia,China,Asia-Pacific,3,Chemicals,71.24,70.13,77.52,66.08,0.1444,179.73,0.54,0.25,3,1,40,23564,0.89,0.028,95.5,1.64,100.0,0.88,57.69,1,11282.0,Low
S0008472,C0008472,Cargill,Cocoa,Brazil,South America,3,Agriculture,64.07,56.67,70.33,65.21,0.7277,1120.83,0.51,0.2,0,1,11,591,0.9,0.051,72.37,1.06,66.28,0.85,61.37,1,8623.0,Moderate
S0000429,C0000429,Wilmar International,Soybeans,India,Asia-Pacific,1,Agriculture,62.58,67.91,84.02,62.61,0.7449,1167.1,0.39,0.01,1,0,17,42616,0.9,0.006,56.71,0.64,87.14,0.24,48.0,1,8664.0,Low
S0006795,C0006795,Wilmar International,Sugar,China,Asia-Pacific,3,Agriculture,68.68,65.55,74.21,66.28,0.0242,414.5,0.71,0.48,2,0,20,42373,0.9,0.036,68.18,0.87,82.9,0.14,70.54,1,10433.0,Low
S0009549,C0009549,Olam International,Cocoa,Japan,Asia-Pacific,1,Agriculture,48.63,55.5,25.123750000000005,68.32,0.8821,1195.36,0.85,0.45,2,0,32,2371,0.86,0.034,83.99,1.35,74.69,0.56,74.33,1,3299.0,Moderate
S0007023,C0007023,Sime Darby Plantation,Palm Oil,Brazil,South America,2,Agriculture,84.28,99.8,71.19,81.86,0.1431,813.18,0.52,0.0,2,1,24,39498,0.86,0.024,69.76,0.91,56.47,0.44,52.26,0,6447.0,Low
S0009425,C0009425,Tata Steel,Iron Ore,Japan,Asia-Pacific,3,Metals,49.53,58.15,34.7,55.74,0.3468,527.32,0.58,0.23,2,0,24,43944,0.9,0.006,92.54,1.61,85.72,0.86,62.66,0,2186.0,Moderate
S0000799,C0000799,Foxconn,Electronic Components,India,Asia-Pacific,2,Electronics,65.94,53.23,68.92,75.67,0.7136,1473.33,0.51,0.27,3,1,41,48591,0.98,0.045,85.81,1.31,81.89,0.86,70.24,1,5481.0,Low
S0004079,C0004079,Wilmar International,Soybeans,Brazil,South America,1,Agriculture,59.7,34.09,67.2,77.82,0.8337,1000.18,0.68,0.44,0,0,19,24105,0.82,0.043,75.6,0.95,56.62,0.37,54.65,0,4044.0,Moderate
S0003141,C0003141,Bunge Limited,Soybeans,Malaysia,Asia-Pacific,3,Agriculture,52.1,65.64,64.79,29.08,0.8942,1369.99,0.88,0.23,3,1,32,40387,0.83,0.03,93.69,1.21,55.27,0.44,58.56,0,1726.0,Moderate
S0008610,C0008610,Sime Darby Plantation,Palm Kernel,Japan,Asia-Pacific,3,Agriculture,64.05,87.97,52.01,52.18,0.2082,760.54,0.42,0.43,3,0,26,29837,0.9,0.033,89.38,0.84,66.46,0.77,78.07,0,4324.0,Moderate
S0002361,C0002361,Wilmar International,Sugar,Brazil,South America,1,Agriculture,62.58,38.55,65.84,89.54,0.5397,1360.36,0.67,0.4,2,0,34,4852,0.84,0.028,83.47,0.56,60.56,0.79,78.91,0,5733.0,Moderate
S0006574,C0006574,Cargill,Cocoa,China,Asia-Pacific,1,Agriculture,59.91,38.01,73.72,68.0,0.7925,755.24,0.6,0.36,2,1,24,36261,0.92,0.022,37.63,1.03,82.02,0.29,67.24,1,5653.0,Moderate
S0009752,C0009752,Nestlé,Coffee Beans,USA,North America,3,Food & Beverage,75.16,100.0,58.02,63.1,0.5868,1266.08,0.74,0.16,3,0,47,15555,0.87,0.039,69.76,1.07,57.73,0.81,83.76,2,2607.0,Moderate
S0000299,C0000299,Archer Daniels Midland,Wheat,Malaysia,Asia-Pacific,2,Agriculture,77.81,80.69,69.45,83.28,0.3335,780.21,0.64,0.09,1,1,40,32981,0.93,0.048,100.0,1.34,92.44,0.26,59.57,0,818.0,Low
S0009368,C0009368,Bunge Limited,Soybeans,Indonesia,Asia-Pacific,3,Agriculture,74.56,50.56,85.99,87.12,0.3744,87.32,0.76,0.61,2,0,32,25376,0.92,0.04,75.0,0.2,87.97,0.43,54.22,0,8273.0,Low
S0004415,C0004415,Archer Daniels Midland,Soybeans,Brazil,South America,3,Agriculture,69.03,70.46,62.55,74.08,0.1728,1332.21,0.27,0.9,1,0,28,32577,0.84,0.034,51.79,0.56,90.59,0.82,71.82,3,10956.0,Moderate
S0006806,C0006806,Foxconn,Electronic Components,Indonesia,Asia-Pacific,1,Electronics,55.33,32.6,53.99,79.4,0.3477,1343.21,0.62,0.32,0,1,38,39481,0.88,0.02,40.22,1.21,54.36,0.7,70.28,1,5007.0,Moderate
S0009357,C0009357,Samsung Electronics,LCD Panels,China,Asia-Pacific,2,Electronics,48.93,36.93,53.04,56.81,0.0139,1024.55,0.43,0.78,2,1,28,33969,0.92,0.03,79.8,0.5,68.52,0.27,80.92,3,1611.0,Moderate
S0008304,C0008304,Samsung Electronics,Semiconductors,Malaysia,Asia-Pacific,2,Electronics,59.59,56.82,60.18,61.78,0.7768,649.34,0.63,0.42,2,1,38,18253,0.96,0.034,89.19,1.33,82.88,0.78,66.5,0,2078.0,Moderate
S0002897,C0002897,Nestlé,Coffee Beans,Japan,Asia-Pacific,1,Food & Beverage,67.31,35.81,86.62,79.49,0.8304,242.89,0.39,0.54,3,1,22,28791,0.9,0.042,68.58,1.24,54.48,0.9,100.0,2,3121.0,Moderate
S0000101,C0000101,Tata Steel,Iron Ore,China,Asia-Pacific,1,Metals,62.58,50.07,100.0,53.97,0.5842,864.15,0.63,0.81,0,0,20,11891,0.96,0.045,81.85,1.31,66.73,0.5,83.39,2,9093.0,Moderate
S0006356,C0006356,Bunge Limited,Sunflower Seeds,Malaysia,Asia-Pacific,2,Agriculture,61.19,48.85,68.97,65.75,0.5231,1369.04,0.42,0.5,0,1,5,44996,0.93,0.007,76.11,1.26,85.44,0.22,80.04,3,2128.0,Moderate
S0002451,C0002451,Yara International,Ammonia,India,Asia-Pacific,2,Chemicals,69.21,48.41,88.54,70.69,0.3177,1039.83,0.59,0.0,3,1,8,21922,0.92,0.046,67.15,0.73,60.65,0.73,76.51,0,7190.0,Low
S0002236,C0002236,Syngenta,Crop Protection Chemicals,Malaysia,Asia-Pacific,2,Chemicals,74.95,54.85,87.69,82.31,0.0379,178.47,0.74,0.56,1,1,22,22467,1.0,0.046,53.01,1.1,71.03,0.58,94.77,2,5582.0,Moderate
S0009568,C0009568,Cargill,Soybeans,Malaysia,Asia-Pacific,2,Agriculture,69.16,89.81,71.72,63.1,0.2931,946.93,0.71,0.23,2,1,19,33480,0.92,0.025,35.83,1.34,95.29,0.7,74.54,1,6001.0,Low
S0009253,C0009253,Wilmar International,Palm Oil,India,Asia-Pacific,1,Agriculture,66.62,63.39,86.49,49.99,0.5585,741.93,0.61,0.4,3,0,9,48500,0.99,0.025,92.38,0.75,83.91,0.19,66.98,2,5960.0,Moderate
S0004883,C0004883,Bunge Limited,Sunflower Seeds,Japan,Asia-Pacific,2,Agriculture,53.27,31.24,56.21,72.37,0.1597,873.03,0.8,0.52,2,1,37,8100,0.86,0.026,71.81,0.73,84.55,0.83,75.84,1,2889.0,Moderate
S0005246,C0005246,Syngenta,Seeds,Malaysia,Asia-Pacific,3,Agriculture,73.17,80.29,66.17,73.05,0.785,1034.6,0.69,0.38,1,0,41,35308,0.86,0.041,46.37,1.18,90.65,0.76,75.1,0,5259.0,Low
S0000325,C0000325,Olam International,Cocoa,China,Asia-Pacific,3,Agriculture,63.2,84.32,55.19,50.1,0.0278,198.38,0.6,0.54,1,0,41,26003,0.89,0.047,80.62,0.2,67.06,0.19,73.55,0,11142.0,Moderate
S0004528,C0004528,Olam International,Cocoa,Japan,Asia-Pacific,1,Agriculture,65.43,63.73,75.69,56.87,0.1677,376.03,0.49,0.22,1,1,23,38731,0.9,0.025,69.1,1.16,79.43,0.11,85.56,2,787.0,Moderate
S0000689,C0000689,Nestlé,Cocoa,Brazil,South America,1,Agriculture,60.47,40.69,72.21,68.52,0.5231,1395.08,0.61,0.29,2,1,33,29827,0.9,0.006,82.25,1.35,65.15,0.33,84.67,1,6555.0,Moderate
S0005755,C0005755,Louis Dreyfus Company,Soybeans,India,Asia-Pacific,2,Agriculture,58.04,39.2,63.29,71.63,0.3213,692.8,0.68,0.05,3,1,32,28359,0.85,0.07,17.438750000000006,0.93,70.59,0.14,81.3,0,11423.0,Moderate
S0001836,C0001836,Bunge Limited,Soybeans,USA,North America,2,Agriculture,70.64,80.33,54.96,76.64,0.8782,192.61,0.68,0.24,3,1,36,6446,0.88,0.025,94.55,1.08,85.9,0.75,64.08,2,3073.0,Moderate
S0007362,C0007362,Sime Darby Plantation,Palm Oil,Brazil,South America,2,Agriculture,59.21,44.82,68.73,64.07,0.2956,181.7,0.47,0.64,1,1,29,38208,0.92,0.027,65.84,1.51,85.49,0.22,60.66,0,6861.0,Moderate
S0003929,C0003929,Foxconn,Electronic Components,China,Asia-Pacific,1,Electronics,64.5,68.41,54.18,70.9,0.6041,855.4,0.35,0.56,0,0,40,39629,0.85,0.0,97.28,1.0,69.13,0.38,70.81,3,6922.0,Moderate
S0000225,C0000225,Syngenta,Crop Protection Chemicals,USA,North America,3,Chemicals,63.29,72.22,62.95,54.69,0.5887,1455.52,0.55,0.28,3,1,28,29594,0.89,0.031,27.43,1.18,60.3,0.9,45.22,1,1309.0,Moderate
S0001993,C0001993,Sime Darby Plantation,Palm Kernel,Japan,Asia-Pacific,2,Agriculture,45.19,39.16,58.49,37.91,0.7401,1328.71,0.65,0.3,2,1,29,25070,0.88,0.025,87.71,0.42,69.89,0.44,78.55,2,3465.0,Moderate
S0005056,C0005056,Nestlé,Milk Powder,USA,North America,1,Food & Beverage,63.85,76.22,62.1,53.24,0.3089,957.09,0.46,0.25,2,0,50,30048,0.91,0.035,57.8,0.9,33.99875000000002,0.8,68.19,2,6347.0,Moderate
S0007191,C0007191,Olam International,Cocoa,USA,North America,3,Agriculture,62.35,28.12,71.45,87.49,0.3858,754.04,0.53,0.73,1,0,23,12067,0.96,0.027,73.51,1.11,84.58,0.89,96.65,0,9786.0,Moderate
S0008974,C0008974,Louis Dreyfus Company,Wheat,China,Asia-Pacific,1,Agriculture,53.27,44.49,66.48,48.83,0.509,914.61,0.75,0.54,1,0,48,40842,0.81,0.023,69.76,0.55,93.67,0.9,64.59,2,6326.0,Moderate
S0000438,C0000438,Sime Darby Plantation,Palm Oil,Indonesia,Asia-Pacific,2,Agriculture,41.62,47.33,37.14,40.38,0.0362,536.56,0.73,0.05,1,0,38,24413,0.89,0.048,80.02,1.0,68.26,0.25,72.43,3,1238.0,Moderate
S0000144,C0000144,Tata Steel,Steel Billets,Malaysia,Asia-Pacific,1,Metals,65.14,60.92,67.6,66.9,0.7826,714.09,0.36,0.23,1,0,7,20446,0.89,0.005,66.48,1.66,75.31,0.87,72.77,0,8121.0,Low
S0001298,C0001298,Foxconn,Electronic Components,USA,North America,1,Electronics,67.03,82.08,56.13,62.88,0.2005,665.52,0.59,0.65,3,1,48,35395,0.95,0.033,92.25,0.58,70.12,0.39,74.75,2,8462.0,Moderate
S0002232,C0002232,Olam International,Cocoa,Japan,Asia-Pacific,1,Agriculture,67.07,62.88,74.38,63.94,0.0642,472.18,0.6,0.25,1,1,28,40460,0.84,0.031,73.86,0.27,74.84,0.35,55.28,1,5715.0,Low
S0003169,C0003169,Syngenta,Seeds,Malaysia,Asia-Pacific,3,Agriculture,38.29,32.72,55.13,27.02,0.3553,990.84,0.9999999999999999,0.28,1,0,48,47400,0.91,0.054,84.48,1.09,66.17,0.74,81.62,1,1974.0,High
S0006008,C0006008,Archer Daniels Midland,Wheat,Japan,Asia-Pacific,2,Agriculture,65.08,73.7,54.78,63.1,0.864,1096.29,0.58,0.13,0,1,32,48581,0.96,0.032,45.11,2.04,88.62,0.7,86.33,1,5051.0,Low
S0001623,C0001623,Samsung Electronics,Semiconductors,Brazil,South America,2,Electronics,66.82,55.56,71.78,73.11,0.9814,1007.23,0.52,0.1,1,0,31,8326,0.95,0.013,75.42,0.95,77.44,0.52,99.82,0,968.0,Low
S0000884,C0000884,Wilmar International,Palm Oil,India,Asia-Pacific,1,Agriculture,62.83,82.62,66.95,38.93,0.844,211.16,0.52,0.5,3,0,34,21485,0.92,0.048,67.59,0.45,90.85,0.44,87.23,2,2606.0,Moderate
S0002267,C0002267,Bunge Limited,Soybeans,Malaysia,Asia-Pacific,3,Agriculture,70.56,72.36,92.68,46.63,0.19,1083.8,0.57,0.22,0,1,38,4169,1.0,0.018,62.67,1.09,81.43,0.37,67.5,0,10078.0,Low
S0000381,C0000381,Wilmar International,Palm Oil,India,Asia-Pacific,1,Agriculture,72.81,100.0,65.69,52.74,0.5099,305.8,0.9999999999999999,0.44,3,0,32,13759,0.97,0.035,60.03,0.62,69.87,0.51,63.08,1,11331.0,Low
S0006104,C0006104,Cargill,Corn,China,Asia-Pacific,3,Agriculture,68.34,69.68,69.73,65.61,0.5742,297.01,0.85,0.43,1,1,25,13748,0.89,0.009,58.41,1.09,84.9,0.35,59.43,0,10875.0,Low
