SC_ID,Year,Month,Country,Region,Industry_Sector,Supplier_Tier,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0007180,2023.0,FEB,UZBEKISTAN,ECA,Metals & Mining (Primary),1,87.71,87.44,87.47,87.96,0.0826,2.582,1.637,1.714,166.06,0.561,0.229,3,1,BRCGS,5.0,14943.0,0.905,0.06,0.0,75.48,0.501,59.77,11556.45,0.98,0.968,31385.0,2965.0,1546.0,Moderate
SC0007181,2019.0,DEC,QATAR,MENA-AP,"Oil, Gas & Refining",1,48.21,79.11,96.18,80.86,0.132,5.017,1.515,6.204,251.35,0.266,0.082,1,0,BRCGS,26.0,5964.0,0.546,0.002,4.0,81.58,0.592,49.25,64239.07,0.855,0.813,56963.0,9558.0,635.0,High
SC0007182,2019.0,JUN,GHANA,SSA,Food & Beverage Processing,2,63.58,57.74,60.54,67.23,0.0593,0.592,0.547,2.228,126.57,0.728,0.25,1,0,Fairtrade,15.0,20760.0,1.0,0.073,0.0,78.04,0.327,55.36,17702.53,0.81,0.934,37900.0,13782.0,3875.0,Moderate
SC0007183,2022.0,JUL,HUNGARY,ECA,"Oil, Gas & Refining",1,69.14,61.38,71.94,75.41,0.8357,3.244,0.633,3.031,499.36,0.514,0.992,1,1,BRCGS,42.0,16189.0,0.809,0.032,1.0,83.95,0.046,94.49,33916.54,1.173,0.671,65891.0,11092.0,1360.0,High
SC0007184,2020.0,NOV,BRAZIL,LAC,Agriculture & Agribusiness,1,68.58,77.43,57.55,71.7,0.8452,1.469,1.992,8.066,23.69,0.464,0.0,0,1,LEED,13.0,2520.0,0.81,0.08,1.0,75.82,0.518,61.35,18479.87,1.103,0.685,33705.0,6620.0,4131.0,High
SC0007185,2020.0,MAR,BRAZIL,LAC,"Consumer Goods, Retail & Logistics",1,64.35,60.03,59.13,73.39,0.1088,1.825,0.637,2.471,136.83,0.578,0.392,2,1,ISO 9001,16.0,3951.0,0.733,0.05,0.0,76.92,0.212,66.87,18246.82,1.096,0.936,30615.0,16251.0,4346.0,Moderate
SC0007186,2025.0,NOV,CHILE,LAC,Metals & Mining (Primary),1,78.66,72.1,87.71,77.74,1.2291,7.99,1.904,10.63,532.68,0.694,0.162,2,0,Fairtrade; RSPO,37.0,20644.0,0.874,0.064,0.0,95.87,0.598,84.29,15102.62,1.428,1.048,16857.0,15274.0,4098.0,High
SC0007187,2024.0,MAY,INDONESIA,EAP,Agriculture & Agribusiness,1,92.25,82.71,100.0,94.76,0.113,1.247,0.293,1.947,249.77,0.519,0.153,1,0,BRCGS; ISO 14001,20.0,9011.0,0.711,0.097,0.0,85.16,0.399,85.19,21994.62,1.086,1.235,1.0,15008.0,2347.0,High
SC0007188,2022.0,APR,ARGENTINA,LAC,Agriculture & Agribusiness,1,66.41,58.07,66.29,69.65,0.1114,0.945,1.637,1.649,173.72,0.444,0.479,1,1,SA8000,39.0,9195.0,0.934,0.006,1.0,100.0,0.134,98.0,20471.39,0.628,1.188,6844.0,10406.0,4671.0,Moderate
SC0007189,2022.0,FEB,UZBEKISTAN,ECA,"Oil, Gas & Refining",1,60.44,51.66,56.89,67.69,0.404,4.726,1.475,6.849,240.48,0.633,0.191,2,1,BRCGS,6.0,10759.0,0.601,0.047,3.0,97.06,0.203,71.22,18941.35,1.144,0.914,1.0,13145.0,5959.0,High
SC0007190,2020.0,OCT,CHINA,EAP,Automotive & Transportation,1,63.09,56.35,59.77,72.64,0.0404,2.114,0.639,3.279,171.73,0.513,0.271,1,0,LEED,1.0,10105.0,0.786,0.104,0.0,83.04,0.03,62.31,13722.01,0.754,0.972,32577.0,6890.0,1053.0,High
SC0007191,2025.0,FEB,INDIA,SA,"Oil, Gas & Refining",1,65.51,61.1,71.15,64.72,0.5801,4.128,1.422,6.279,404.79,0.529,0.51,2,1,FSSC 22000,1.0,30010.0,0.515,0.018,1.0,85.8,0.614,79.55,26043.54,0.878,1.492,22045.0,8301.0,1850.0,High
SC0007192,2023.0,APR,SLOVENIA,ECA,"Electronics, Semiconductors & Technology",1,70.91,71.41,65.29,69.14,0.2137,0.042,0.866,3.265,112.76,0.672,0.262,1,1,BRCGS,1.0,6672.0,0.821,0.028,0.0,83.19,0.577,77.25,975.69,1.25,1.145,70689.0,18806.0,1569.0,Moderate
SC0007193,2021.0,OCT,NIGERIA,SSA,"Oil, Gas & Refining",1,69.28,70.54,67.64,73.32,1.0621,0.788,0.499,6.769,487.77,0.673,0.393,1,0,ISO 9001,15.0,20055.0,0.913,0.035,1.0,85.31,0.776,88.04,13125.47,1.041,1.237,30901.0,7303.0,4117.0,High
SC0007194,2021.0,OCT,INDIA,SA,Steel & Metallurgical,1,48.85,45.52,51.67,45.49,0.4621,2.997,2.567,8.287,726.98,0.396,0.087,2,1,BRCGS,11.0,19152.0,0.93,0.002,0.0,79.32,0.441,82.4,8999.21,1.215,0.879,13627.0,15269.0,1849.0,High
SC0007195,2019.0,SEP,ECUADOR,LAC,Agriculture & Agribusiness,2,92.94,95.82,86.91,94.79,0.0754,0.973,0.646,1.638,231.49,0.56,0.433,2,1,BRCGS,35.0,6360.0,0.919,0.104,0.0,90.57,0.467,56.68,9956.77,1.194,1.293,33713.0,7757.0,4014.0,Moderate
SC0007196,2019.0,FEB,KAZAKHSTAN,ECA,Energy & Utilities,1,47.05,49.84,43.25,48.8,0.2203,2.004,0.901,4.003,339.55,0.526,0.457,2,1,Fairtrade; BRCGS,44.0,11040.0,0.813,0.045,0.0,73.74,0.324,69.84,14112.96,0.946,0.962,23477.0,8508.0,3414.0,High
SC0007197,2020.0,AUG,ARMENIA,ECA,Food & Beverage Processing,2,71.91,62.91,74.49,78.1,0.0979,0.627,0.397,2.148,187.31,0.616,0.337,1,0,BRCGS,7.0,13803.0,0.627,0.122,2.0,81.52,0.094,45.87,7693.62,0.746,1.3,26201.0,5850.0,6812.0,High
SC0007198,2023.0,JUL,SOUTH AFRICA,SSA,Chemicals & Petrochemicals,1,74.15,77.98,64.28,79.61,0.0269,1.855,0.696,4.576,126.77,0.615,0.222,2,1,FSSC 22000,17.0,8551.0,0.592,0.022,1.0,85.81,0.124,90.91,5566.97,1.247,1.2,3084.0,12837.0,3054.0,Moderate
SC0007199,2024.0,APR,ECUADOR,LAC,Food & Beverage Processing,1,81.11,81.54,78.26,81.42,0.0898,1.63,0.514,3.29,214.88,0.703,0.777,3,1,Fairtrade,7.0,14074.0,0.961,0.016,1.0,92.37,0.595,75.58,10889.89,1.065,0.711,20733.0,10510.0,3520.0,Moderate
SC0007200,2022.0,DEC,DEMOCRATIC REPUBLIC OF THE CONGO,SSA,Metals & Mining (Primary),1,78.68,77.13,85.8,70.03,0.7434,3.201,1.735,4.042,652.6,0.699,0.272,2,1,ISO 14001,22.0,12685.0,0.838,0.041,0.0,79.05,0.209,87.98,2737.89,0.983,0.85,58849.0,16934.0,2658.0,High
SC0007201,2019.0,OCT,IVORY COAST,SSA,Agribusiness/Commodities,1,63.84,57.99,66.43,68.62,0.233,1.506,0.955,2.989,148.46,0.455,0.669,2,1,BRCGS,29.0,6428.0,0.949,0.082,0.0,81.11,0.181,81.95,889.13,1.343,1.117,23457.0,14757.0,4772.0,Moderate
SC0007202,2022.0,DEC,RUSSIA,ECA,"Oil, Gas & Refining",1,71.21,70.77,75.09,72.82,0.464,0.804,2.112,3.595,182.61,0.348,0.596,2,1,ISO 14001; FSSC 22000,35.0,15392.0,0.559,0.074,0.0,97.63,0.08,66.53,30900.16,1.065,0.958,50577.0,13392.0,367.0,High
SC0007203,2025.0,NOV,BANGLADESH,SA,"Consumer Goods, Retail & Logistics",1,35.42,54.59,50.9,57.58,0.1224,2.767,0.905,3.645,220.08,0.64,0.33,1,0,BRCGS,23.0,10858.0,0.412,0.067,4.0,78.58,0.38,48.88,75066.28,1.208,0.843,18136.0,756.0,3690.0,High
SC0007204,2022.0,APR,AFGHANISTAN,SA,Agriculture & Agribusiness,2,36.02,57.65,65.37,47.66,0.1087,1.456,0.684,3.361,144.35,0.773,0.376,1,0,BRCGS,35.0,14698.0,0.492,0.016,1.0,90.89,0.326,33.47,12733.25,1.281,0.957,1.0,13726.0,4951.0,High
SC0007205,2021.0,SEP,SAUDI ARABIA,MENA-AP,"Oil, Gas & Refining",1,72.1,68.2,71.6,79.67,0.1901,3.318,1.12,1.023,192.92,0.704,0.375,3,0,BRCGS,20.0,20678.0,0.843,0.023,1.0,94.27,0.399,94.97,13312.47,1.415,1.108,8724.0,10389.0,4812.0,Moderate
SC0007206,2023.0,MAR,SOUTH AFRICA,SSA,Metals & Mining (Primary),1,76.31,79.97,76.56,72.75,0.0566,1.49,1.222,0.299,322.06,0.409,0.364,1,0,ISO 9001,30.0,1640.0,0.79,0.058,0.0,88.2,0.198,89.68,12879.31,1.042,1.114,23243.0,16618.0,3762.0,Moderate
SC0007207,2020.0,APR,CHINA,EAP,"Electronics, Semiconductors & Technology",1,75.29,64.08,79.79,75.98,0.0806,1.985,0.799,4.501,196.79,0.362,0.574,2,0,Fairtrade,23.0,6.0,0.589,0.1,1.0,75.73,0.145,64.86,8746.31,0.989,1.056,31265.0,12917.0,5007.0,High
SC0007208,2021.0,JUN,INDIA,SA,Chemicals & Petrochemicals,1,72.13,77.75,68.9,68.52,0.1887,2.457,0.416,2.282,169.93,0.604,0.313,3,1,BRCGS; ISO 9001,19.0,12648.0,1.0,0.041,1.0,81.13,0.277,55.23,32610.14,1.219,0.813,14569.0,15685.0,2481.0,Moderate
SC0007209,2025.0,JAN,CHINA,EAP,"Electronics, Semiconductors & Technology",1,87.22,89.86,88.76,85.07,0.2805,2.138,1.5,2.18,139.17,0.602,0.162,2,1,SA8000; RSPO,58.0,11141.0,0.722,0.044,0.0,91.66,0.51,99.0,16890.25,1.679,1.292,59995.0,12554.0,2888.0,Moderate
SC0007210,2025.0,NOV,KAZAKHSTAN,ECA,"Oil, Gas & Refining",1,58.26,57.36,59.54,62.19,0.6463,3.41,0.791,6.954,18.41,0.455,0.52,1,0,BRCGS,31.0,23818.0,0.885,0.07,1.0,82.56,0.247,83.94,26950.07,2.252,1.06,19203.0,14807.0,3597.0,High
SC0007211,2021.0,JUL,INDONESIA,EAP,Energy & Utilities,1,70.95,71.21,71.93,66.39,0.2062,1.942,0.707,3.442,283.68,0.712,0.421,3,1,BRCGS,41.0,6811.0,0.863,0.0,0.0,73.87,0.402,77.71,10091.87,1.114,0.861,29368.0,13056.0,3813.0,Moderate
SC0007212,2022.0,APR,COLOMBIA,LAC,Agriculture & Agribusiness,2,88.09,80.52,89.27,90.69,0.0882,1.19,0.653,4.077,157.45,0.541,0.264,2,0,ISO 9001,31.0,8683.0,0.912,0.075,0.0,100.0,0.388,88.26,18043.42,1.453,1.074,70516.0,8352.0,2449.0,Moderate
SC0007213,2021.0,APR,UZBEKISTAN,ECA,Metals & Mining (Primary),1,83.45,91.04,74.67,83.33,0.1061,2.133,0.541,1.855,195.59,0.605,0.615,1,0,ISO 9001; SA8000,11.0,22688.0,0.894,0.006,0.0,75.23,0.134,98.33,14482.47,1.008,1.095,42866.0,16982.0,1427.0,Moderate
SC0007214,2021.0,FEB,RUSSIA,ECA,Metals & Mining (Primary),1,62.91,64.22,59.58,68.81,0.7846,4.179,3.069,9.146,641.46,0.77,0.496,2,0,BRCGS,15.0,18426.0,0.928,0.089,0.0,73.44,0.199,79.53,19681.41,0.929,1.226,54251.0,242.0,2451.0,High
SC0007215,2019.0,OCT,INDIA,SA,Agribusiness/Food,1,59.08,53.22,56.64,66.85,0.09,0.595,0.347,1.63,283.21,0.951,0.094,2,1,SA8000; RSPO,20.0,18111.0,0.937,0.023,1.0,78.5,0.08,80.77,13050.42,1.141,1.329,29751.0,14852.0,1.0,Moderate
SC0007216,2021.0,MAY,SOUTH AFRICA,SSA,Steel & Metallurgical,1,85.56,79.22,90.43,91.58,0.0005,3.247,2.819,4.047,384.02,0.396,0.503,1,0,BRCGS,26.0,13602.0,0.894,0.042,3.0,100.0,0.386,68.65,4027.56,0.866,0.545,14688.0,24950.0,2469.0,High
SC0007217,2025.0,NOV,CHINA,EAP,1,1,63.89,65.03,62.93,65.04,0.1332,0.563,1.25,2.436,137.69,0.672,0.381,2,1,BRCGS,6.0,19037.0,0.97,0.021,0.0,78.32,0.453,53.84,20223.73,0.846,1.007,34084.0,12933.0,5333.0,Moderate
SC0007218,2025.0,FEB,SRI LANKA,SA,Agriculture & Agribusiness,1,55.83,53.91,52.7,62.18,0.0066,1.786,1.27,3.364,175.88,0.32,0.455,2,1,SA8000,21.0,11625.0,0.782,0.048,0.0,71.46,0.236,76.68,3178.45,1.031,0.862,24308.0,1.0,5551.0,Moderate
SC0007219,2021.0,OCT,IVORY COAST,SSA,Agriculture & Agribusiness,1,70.74,70.25,77.01,65.44,0.1472,0.01,0.48,0.733,135.61,0.48,0.472,3,1,ISO 9001,1.0,4246.0,0.866,0.0,1.0,81.14,0.307,96.58,2698.16,1.593,0.913,63723.0,13930.0,3029.0,Moderate
SC0007220,2019.0,APR,NAMIBIA,SSA,Metals & Mining (Primary),1,81.08,69.24,72.41,92.68,0.0945,2.845,1.077,2.417,228.44,0.585,0.338,2,1,BRCGS,1.0,19828.0,0.906,0.0,0.0,84.32,0.372,79.26,22448.34,0.865,0.963,40961.0,2667.0,3524.0,Moderate
SC0007221,2021.0,JAN,PERU,LAC,Agriculture & Agribusiness,2,64.15,65.14,70.25,54.46,0.0707,0.972,0.481,3.429,160.21,0.321,1.0,2,1,ISO 9001,49.0,20586.0,0.886,0.052,2.0,95.19,0.652,42.67,10364.58,1.253,0.774,9451.0,25769.0,1981.0,High
SC0007222,2023.0,FEB,INDIA,SA,Industrial Manufacturing & Construction,2,55.57,48.75,56.21,54.53,0.1435,0.656,0.749,2.265,170.08,0.709,0.0,2,1,ISO 9001,19.0,13710.0,0.988,0.011,0.0,81.88,0.636,54.61,9577.85,1.516,0.707,44928.0,14744.0,3517.0,Moderate
SC0007223,2024.0,MAY,BOLIVIA,LAC,"Oil, Gas & Refining",1,64.65,69.29,68.74,58.61,0.6408,3.731,1.45,3.818,238.33,0.385,0.798,1,0,ISO 14001,5.0,22131.0,0.469,0.031,2.0,88.42,0.628,60.11,10226.83,0.886,1.187,48372.0,13821.0,5731.0,High
SC0007224,2024.0,AUG,ARMENIA,ECA,Metals & Mining (Primary),1,94.08,93.62,99.09,92.55,0.5211,5.103,2.07,5.625,514.87,0.62,0.071,2,1,ISO 9001,25.0,11152.0,0.991,0.052,0.0,75.97,0.277,78.89,23069.75,1.04,1.056,58067.0,23586.0,5658.0,Moderate
SC0007225,2022.0,APR,IRAQ,MENA-AP,"Oil, Gas & Refining",1,95.12,100.0,90.48,94.56,0.7331,0.226,1.242,4.233,416.0,0.3,0.504,1,1,BRCGS,12.0,28143.0,0.721,0.0,2.0,90.82,0.226,76.98,52453.49,1.194,0.941,21726.0,10022.0,3882.0,High
SC0007226,2024.0,JUN,ZIMBABWE,SSA,Metals & Mining (Primary),2,53.48,48.29,48.93,60.47,0.7663,3.846,2.311,8.293,635.7,0.768,0.093,3,1,BRCGS,31.0,9054.0,0.966,0.107,0.0,67.11,0.67,92.79,2149.69,0.699,1.189,41582.0,5148.0,3581.0,High
SC0007227,2024.0,OCT,INDIA,SA,Industrial Manufacturing & Construction,2,70.49,59.99,74.26,74.81,0.187,2.098,0.964,1.403,199.65,0.913,0.397,1,1,LEED; SA8000,21.0,10.0,1.0,0.054,0.0,81.61,0.213,79.62,2363.01,1.139,0.924,54952.0,4530.0,3841.0,Moderate
SC0007228,2022.0,JAN,BANGLADESH,SA,"Consumer Goods, Retail & Logistics",1,39.99,56.74,67.8,65.57,0.1731,3.629,1.233,4.255,217.65,0.82,0.748,1,0,BRCGS,32.0,620.0,0.422,0.004,2.0,86.96,0.131,46.24,44001.45,1.179,1.097,20508.0,6191.0,2660.0,High
SC0007229,2021.0,APR,SOUTH KOREA,EAP,Chemicals & Petrochemicals,1,52.35,53.51,47.87,49.95,0.1678,1.045,0.661,0.904,207.41,0.879,0.267,2,1,BRCGS,1.0,10402.0,0.917,0.024,0.0,94.94,0.202,41.93,6868.41,1.432,1.014,56470.0,24584.0,410.0,Moderate
SC0007230,2022.0,MAR,BAHRAIN,MENA-AP,Steel & Metallurgical,1,94.89,96.98,100.0,85.98,1.5626,2.029,4.229,12.338,446.85,0.577,0.251,2,1,BRCGS,20.0,10667.0,0.846,0.103,0.0,80.69,0.687,91.47,13986.32,0.961,1.053,62678.0,15453.0,334.0,High
SC0007231,2025.0,APR,ISRAEL,MENA-AP,Industrial Manufacturing & Construction,2,58.89,51.11,66.68,61.98,0.1459,0.809,0.911,3.897,153.94,0.798,0.451,1,1,ISO 9001,19.0,18818.0,0.892,0.046,0.0,100.0,0.202,85.23,19783.56,0.975,0.882,68050.0,5074.0,4542.0,Moderate
SC0007232,2023.0,JAN,INDIA,SA,Industrial Manufacturing & Construction,1,69.54,65.12,67.45,79.37,0.1489,2.066,0.935,2.848,171.32,0.361,0.732,2,1,BRCGS,24.0,18887.0,0.875,0.032,0.0,94.52,0.42,95.08,17190.75,1.127,1.167,17990.0,1.0,3119.0,Moderate
SC0007233,2025.0,OCT,ECUADOR,LAC,Metals & Mining (Primary),2,88.81,84.99,89.54,95.12,0.2798,5.282,1.101,8.596,552.69,0.735,0.324,2,1,FSSC 22000; LEED,31.0,18275.0,0.922,0.036,0.0,86.4,0.21,58.5,1992.46,0.99,1.476,57715.0,3284.0,321.0,Moderate
SC0007234,2019.0,MAR,IRAN,MENA-AP,Chemicals & Petrochemicals,1,83.78,87.38,77.44,85.02,0.3724,2.981,0.911,6.727,324.64,0.525,0.333,2,1,BRCGS,18.0,10610.0,0.856,0.0,1.0,79.44,0.063,72.49,17378.08,0.521,0.743,48150.0,6748.0,2941.0,Moderate
SC0007235,2023.0,FEB,IRAN,MENA-AP,Metals & Mining (Primary),1,66.53,69.08,70.68,60.9,1.0206,6.619,0.716,8.661,321.85,0.731,0.42,2,1,RSPO,12.0,8259.0,0.853,0.078,0.0,75.92,0.137,57.91,4736.06,1.096,1.151,23818.0,16536.0,3795.0,High
SC0007236,2025.0,SEP,PAKISTAN,MENA-AP,Food & Beverage Processing,2,53.07,87.21,96.69,78.24,0.0378,0.379,0.749,2.873,260.1,0.491,0.434,1,0,BRCGS,6.0,491.0,0.266,0.014,1.0,82.37,0.432,50.16,43973.5,1.057,0.907,18763.0,14742.0,5860.0,High
SC0007237,2019.0,APR,UNITED KINGDOM,ECA,"Consumer Goods, Retail & Logistics",1,66.83,73.31,59.26,73.69,0.1957,0.021,0.211,0.756,205.35,0.737,0.368,2,1,BRCGS,12.0,26573.0,0.877,0.038,0.0,92.81,0.141,64.24,11663.29,0.504,1.025,63830.0,13020.0,2199.0,Moderate
SC0007238,2020.0,NOV,INDIA,SA,Chemicals & Petrochemicals,1,57.59,58.12,58.71,56.76,0.3378,2.276,2.905,4.422,127.16,0.369,0.561,2,1,BRCGS,22.0,18415.0,0.599,0.09,0.0,86.07,0.298,75.1,10826.42,0.649,0.774,43664.0,8915.0,4403.0,High
SC0007239,2019.0,DEC,IRAN,MENA-AP,Metals & Mining (Primary),1,64.58,61.04,77.11,60.77,1.2814,7.228,3.372,13.686,818.08,0.5,0.423,2,0,ISO 14001; LEED,21.0,7806.0,0.961,0.029,0.0,66.92,0.685,73.24,15946.84,1.12,0.735,11996.0,9098.0,3613.0,High
SC0007240,2020.0,AUG,PAKISTAN,MENA-AP,Industrial Manufacturing & Construction,2,65.91,60.04,71.06,63.7,0.1161,1.88,1.865,4.453,154.57,0.669,0.687,2,1,BRCGS,28.0,18958.0,0.531,0.061,0.0,86.5,0.259,60.67,30807.05,1.293,0.834,27633.0,20268.0,2735.0,Moderate
SC0007241,2024.0,SEP,SOUTH KOREA,EAP,"Consumer Goods, Retail & Logistics",1,66.78,67.9,66.95,67.33,0.1718,1.651,0.136,2.052,144.0,0.68,0.273,2,1,BRCGS,23.0,8603.0,0.988,0.053,0.0,88.8,0.579,98.57,29100.84,1.176,0.985,28072.0,6340.0,3858.0,Moderate
SC0007242,2021.0,MAR,SINGAPORE,EAP,"Consumer Goods, Retail & Logistics",1,61.78,57.98,69.55,59.28,0.0563,3.258,0.548,1.934,77.47,0.256,0.465,3,1,BRCGS,29.0,13779.0,0.865,0.003,0.0,98.53,0.059,49.26,6789.51,1.332,1.039,17344.0,23766.0,3032.0,Moderate
SC0007243,2019.0,JUL,EGYPT,MENA-AP,Food & Beverage Processing,1,63.56,68.87,49.91,67.01,0.0922,0.624,0.479,0.706,159.51,0.385,0.101,2,1,ISO 9001; BRCGS,24.0,1669.0,0.985,0.064,0.0,95.99,0.185,77.5,23858.26,1.577,1.291,43637.0,14213.0,1558.0,Moderate
SC0007244,2023.0,JAN,THAILAND,EAP,Thailand,1,76.95,74.96,86.46,71.76,0.1393,1.46,0.158,2.168,263.84,0.682,0.723,2,1,Fairtrade; FSSC 22000,55.0,26153.0,0.901,0.0,0.0,83.49,0.401,64.99,15750.99,1.259,0.963,37339.0,9082.0,2164.0,Moderate
SC0007245,2020.0,JUL,INDIA,SA,"Consumer Goods, Retail & Logistics",1,61.75,62.5,59.53,63.06,0.1161,1.587,0.789,3.755,261.46,0.421,0.334,3,1,SA8000; LEED,23.0,14469.0,0.827,0.029,1.0,78.65,0.174,76.47,6070,1.374,1.122,29252.0,8807.0,2357.0,Moderate
SC0007246,2020.0,SEP,INDIA,SA,Industrial Manufacturing & Construction,2,50.63,53.4,51.33,47.94,0.1283,1.292,0.389,0.694,86.15,0.609,0.57,3,0,FSSC 22000; ISO 9001,1.0,6975.0,0.717,0.066,0.0,99.53,0.464,52.08,39997.36,1.092,0.788,14902.0,10632.0,3565.0,Moderate
SC0007247,2022.0,AUG,SOUTH AFRICA,SSA,Industrial Manufacturing & Construction,2,70.44,69.64,74.16,65.37,0.1143,1.692,0.944,1.016,179.72,0.692,0.65,3,1,BRCGS,24.0,13581.0,0.878,0.03,1.0,84.47,0.262,55.06,13435.32,0.953,1.223,22676.0,11982.0,1957.0,Moderate
SC0007248,2024.0,JUL,ITALY,ECA,Automotive & Transportation,1,64.5,68.38,67.23,63.38,0.2216,2.253,0.642,2.793,140.95,0.483,0.149,2,1,ISO 9001,15.0,9427.0,0.914,0.0,0.0,74.72,0.237,88.74,19224.93,0.609,1.232,21855.0,3972.0,6140.0,Moderate
SC0007249,2024.0,APR,SOUTH AFRICA,SSA,Chemicals & Petrochemicals,1,85.2,78.02,88.88,87.68,0.025,1.93,0.911,3.56,192.59,0.275,0.093,2,0,FSSC 22000,61.0,529.0,0.693,0.055,0.0,93.23,0.441,59.66,7375.26,0.919,1.146,13386.0,10090.0,2916.0,Moderate
SC0007250,2019.0,AUG,INDIA,SA,Agriculture & Agribusiness,1,68.78,64.7,73.02,72.25,0.1154,1.861,0.437,1.913,97.86,0.723,0.256,2,1,Fairtrade,39.0,12711.0,0.853,0.03,0.0,80.16,0.191,74.68,7669.34,0.912,1.152,47413.0,10620.0,4478.0,Moderate
SC0007251,2020.0,OCT,IRAN,MENA-AP,Chemicals & Petrochemicals,1,75.97,76.91,73.64,73.24,0.5468,0.669,2.937,8.464,387.61,0.476,0.705,1,1,BRCGS,23.0,1447.0,0.812,0.042,0.0,84.54,0.298,70.04,30994.96,0.355,1.207,57247.0,7384.0,4319.0,High
SC0007252,2025.0,JUL,SINGAPORE,EAP,"Consumer Goods, Retail & Logistics",1,74.43,74.5,77.1,75.68,0.0005,2.549,1.084,3.552,39.7,0.553,0.663,2,1,RSPO; ISO 9001,27.0,9916.0,0.93,0.071,0.0,82.17,0.083,53.77,24397.54,1.331,1.124,50688.0,13090.0,1802.0,Moderate
SC0007253,2021.0,JAN,ZIMBABWE,SSA,Food & Beverage Processing,2,68.49,69.91,70.86,64.61,0.0851,0.806,0.768,1.457,154.61,0.496,0.395,3,1,BRCGS,15.0,17194.0,1.0,0.002,1.0,93.89,0.397,60.57,4760.81,0.822,1.0,34742.0,13275.0,1817.0,Moderate
SC0007254,2025.0,JUL,INDIA,SA,Energy & Utilities,1,57.48,54.8,58.3,59.45,0.1896,2.69,1.152,2.597,87.11,0.558,0.313,3,1,LEED; BRCGS; ISO 9001,48.0,5066.0,0.818,0.015,0.0,85.03,0.097,43.72,9586.91,1.289,0.957,38388.0,11338.0,2606.0,Moderate
SC0007255,2023.0,APR,COLOMBIA,LAC,Food & Beverage Processing,1,83.26,81.4,91.64,74.19,0.092,0.791,0.17,2.403,241.85,0.684,0.123,3,1,BRCGS,47.0,16919.0,0.942,0.024,0.0,89.38,0.638,96.05,30745.85,0.967,1.123,22480.0,17700.0,1430.0,Moderate
SC0007256,2023.0,JUL,INDIA,SA,Pharmaceuticals & Healthcare,1,46.18,47.36,47.63,47.95,0.0475,2.561,1.056,3.012,136.89,0.647,0.87,3,1,BRCGS,1.0,3550.0,0.905,0.069,0.0,81.41,0.538,78.57,18234.64,0.959,1.237,41895.0,1415.0,5204.0,Moderate
SC0007257,2025.0,OCT,ZAMBIA,SSA,Metals & Mining (Primary),2,45.24,40.99,44.47,47.78,0.1432,1.859,0.784,3.05,246.75,0.847,0.235,3,0,BRCGS,31.0,6747.0,1.0,0.007,0.0,88.13,0.479,78.72,15123.83,0.759,0.704,10209.0,3167.0,2934.0,Moderate
SC0007258,2024.0,SEP,JORDAN,MENA-AP,"Oil, Gas & Refining",1,56.79,55.01,57.89,61.22,0.732,0.01,1.592,5.956,356.55,0.917,0.406,3,1,Fairtrade; FSSC 22000,22.0,7825.0,0.778,0.042,3.0,96.56,0.193,55.19,22482.6,1.113,1.545,28931.0,8967.0,313.0,High
SC0007259,2021.0,MAY,BOTSWANA,SSA,"Consumer Goods, Retail & Logistics",1,73.92,74.85,69.78,76.27,0.1246,3.171,1.175,3.292,203.42,0.612,0.435,2,1,LEED,25.0,29233.0,0.961,0.034,0.0,88.41,0.109,99.0,21833.76,1.425,0.69,32795.0,12935.0,465.0,Moderate
SC0007260,2025.0,JAN,TURKEY,ECA,Automotive & Transportation,1,53.74,57.27,50.87,55.33,0.1496,1.681,0.722,3.242,174.17,0.473,0.494,1,1,BRCGS,16.0,13988.0,0.842,0.035,0.0,79.27,0.509,93.8,4685.71,0.962,1.406,53659.0,5400.0,3906.0,Moderate
SC0007261,2025.0,JUL,KUWAIT,MENA-AP,"Oil, Gas & Refining",1,80.11,75.53,83.4,81.93,0.0005,2.353,1.935,5.687,257.45,0.711,0.521,2,1,SA8000,12.0,27199.0,0.587,0.069,2.0,82.59,0.114,58.46,17355.63,0.806,1.049,42786.0,5767.0,2506.0,High
SC0007262,2019.0,NOV,NEPAL,SA,Automotive & Transportation,2,45.92,43.96,44.68,44.79,0.1358,2.737,1.426,0.01,9.41,0.481,0.049,1,1,BRCGS,7.0,9182.0,0.861,0.015,0.0,76.95,0.166,52.37,16537.6,1.121,1.141,19614.0,17547.0,5504.0,High
SC0007263,2022.0,NOV,PAKISTAN,MENA-AP,Automotive & Transportation,2,62.75,64.84,69.29,58.35,0.0645,0.756,0.337,2.299,246.47,0.324,0.278,2,0,SA8000,2.0,10660.0,0.84,0.02,0.0,93.72,0.256,70.59,33907.66,0.509,1.063,26293.0,17735.0,7020.0,Moderate
