SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification,Emission_to_Capacity_Ratio,Operational_Reliability_Index,LeadTime_Capacity_Ratio,Green_Efficiency_Score,Resilience_Score,Sustainability_Risk_Index,ESG_Compliance_Composite,Social_Responsibility_Score,Regional_Risk_Index,Emission_Per_Dollar,Emission_Votality,GHG_Type_Dominance_Score
SC0000257,SIEMENS AG,"Industrial automation equipment, turbines",2019.0,AUG,GERMANY,ECA,1,Industrial Manufacturing & Construction,81.53,83.48,91.46,74.89,0.0889,2.618,1.847,2.629,306.82,0.38,0.401,1,0,BRCGS,10.0,21844.0,0.897,0.021,0.0,94.65,0.087,58.85,5411.03,0.894,1.005,20658.0,11792.0,3712.0,Moderate,4.0697674418604655e-06,0.878163,0.0004577916132576451,0.3905,0.17226630850000002,38.763666666666666,62.251333333333335,77.47,16.969803946460363,0.09944071588366891,0.16948447397063268,0.37059486890329857
SC0000258,VALE MOATIZE,Thermal coal (Moatize mine),2020.0,JAN,MOZAMBIQUE,SSA,1,Metals & Mining (Primary),70.73,67.12,78.45,63.99,0.1779,1.089,0.261,2.564,113.99,0.643,0.503,2,1,BRCGS,18.0,16756.0,0.625,0.04,0.0,74.07,0.68,81.41,7089.72,1.076,0.872,12895.0,15507.0,3347.0,Moderate,1.0617092384817378e-05,0.6,0.0010742420625447602,0.573,0.32563999999999993,39.16533333333333,69.10466666666667,82.825,38.94667245585555,0.16533457249070632,0.17783848762374194,0.6550843127235565
SC0000259,BYD BATTERY CO.,Blade lithium batteries,2019.0,FEB,CHINA,EAP,1,Energy & Utilities,70.81,65.56,69.95,78.66,0.1771,0.599,0.379,2.127,185.27,0.833,0.188,3,1,Fairtrade; ISO 14001,1.0,12478.0,0.845,0.001,1.0,74.25,0.727,51.33,5119.33,0.716,0.864,26127.0,11378.0,3754.0,Moderate,1.4192979644173746e-05,0.844155,8.014104824491104e-05,0.5105,0.43330476149999997,25.383999999999997,82.486,79.515,30.6439238528046,0.2473463687150838,0.19787529006222704,0.685024154589372
SC0000260,PILBARA MINERALS,Lithium spodumene concentrate,2020.0,MAY,AUSTRALIA,EAP,1,Energy & Utilities,75.18,70.49,71.03,86.98,0.1245,2.149,0.795,1.668,124.97,0.527,0.0,3,1,ISO 9001,15.0,9672.0,0.488,0.131,0.0,79.28,0.208,58.22,6634.87,0.968,0.98,47474.0,15007.0,1363.0,High,1.2872208436724565e-05,0.424072,0.0015508684863523574,0.2635,0.2468947184,26.319499999999994,85.108,69.675,38.369998277915826,0.12861570247933884,0.11988103272068529,0.4659583694709454
SC0000261,GÃCAMINES,Copper and cobalt concentrates (state miner),2024.0,SEP,DEMOCRATIC REPUBLIC OF THE CONGO,SSA,1,Metals & Mining (Primary),62.85,61.53,66.31,59.6,0.1273,3.081,2.592,4.823,340.11,0.776,0.204,1,1,BRCGS,34.0,11336.0,1.0,0.04,1.0,78.38,0.457,74.33,18481.55,1.341,1.593,5448.0,16198.0,5594.0,Moderate,1.122971065631616e-05,0.96,0.0029992942836979536,0.49,0.23785599999999998,52.966666666666676,51.043333333333344,72.29500000000002,37.727967904507445,0.09492915734526473,0.2261439471283168,0.4595083841463415
SC0000262,GRUPO MÃXICO,"Copper, mining services (copper concentrate)",2024.0,APR,MEXICO,LAC,1,Metals & Mining (Primary),63.69,68.88,61.98,64.66,1.9134,1.122,3.565,11.816,577.13,0.407,0.473,3,1,BRCGS,38.0,10.0,1.0,0.087,0.0,83.13,0.164,67.08,6727.45,1.057,0.713,19311.0,20205.0,5248.0,High,0.19134,0.913,3.8,0.43999999999999995,0.6124404,76.39849999999998,78.214,64.27000000000001,45.62339979297095,1.810217596972564,1.3418832078833653,0.7159910319335878
SC0000263,SOMDIAA GROUP,"Sugar, wheat, maize flour, animal feed",2023.0,NOV,SENEGAL,SSA,2,Agriculture & Agribusiness,66.13,68.98,73.75,64.15,0.131,2.152,0.2,1.928,132.84,0.577,0.229,2,1,ISO 9001,1.0,2975.0,0.898,0.094,0.0,81.12,0.359,79.09,18133.13,0.989,0.872,25432.0,4958.0,1.0,Moderate,4.403361344537815e-05,0.8135880000000001,0.0003361344537815126,0.40299999999999997,0.42897783280000007,38.29783333333333,66.34466666666667,74.05499999999999,10.370824658077769,0.13245702730030334,0.10605760329416823,0.502803738317757
SC0000264,BASF,"Chemicals, plastics, specialty materials",2020.0,JUL,GERMANY,ECA,1,Chemicals & Petrochemicals,76.34,81.87,73.82,71.15,0.1831,2.628,0.609,1.499,191.43,0.725,0.594,3,1,BRCGS,10.0,6201.0,0.661,0.042,1.0,96.5,0.255,84.5,25596.64,0.802,1.131,49884.0,1660.0,4217.0,Moderate,2.9527495565231416e-05,0.633238,0.0016126431220770843,0.6595,0.53508611,24.888499999999997,85.804,72.01,16.969803946460363,0.22830423940149627,0.2093265885931154,0.5548986486486486
SC0000265,EZZ STEEL,"Rebar, steel products",2022.0,APR,EGYPT,MENA-AP,1,Steel & Metallurgical,54.44,56.5,53.11,58.83,1.2782,9.016,0.267,9.825,203.07,0.564,0.0,3,0,ISO 9001,15.0,14364.0,0.792,0.021,0.0,86.85,0.599,68.6,22727.57,1.23,0.932,28739.0,26947.0,4638.0,High,8.898635477582846e-05,0.7753680000000001,0.0010442773600668337,0.282,0.531902448,66.351,72.664,68.535,66.49249916336181,1.0391869918699188,0.8747739669568685,0.5141825413439397
SC0000266,ENGRO FERTILIZERS,"Urea, specialty fertilizers",2020.0,AUG,PAKISTAN,SA,1,Fertilizers,66.4,62.15,67.43,66.9,0.1192,1.97,0.901,2.792,211.88,0.457,0.137,2,1,RSPO; FSSC 22000,28.0,7731.0,0.677,0.068,0.0,93.25,0.174,70.25,14703.32,1.132,1.47,28489.0,12708.0,3808.0,High,1.5418445220540682e-05,0.630964,0.0036217824343551933,0.29700000000000004,0.2955014733333333,40.05333333333333,66.50666666666667,67.19500000000001,17.70602931550021,0.10530035335689047,0.16940309682089635,0.4930248984637118
SC0000267,ASTRAZENECA,Pharmaceutical products,2019.0,NOV,UNITED KINGDOM,ECA,1,Pharmaceuticals & Healthcare,65.0,67.81,74.7,54.29,0.1672,2.048,0.582,3.957,230.42,0.835,0.589,2,1,SA8000,5.0,5523.0,0.832,0.068,0.0,93.76,0.176,75.39,26534.22,0.73,0.798,58906.0,8913.0,4565.0,Moderate,3.0273402136520006e-05,0.7754239999999999,0.0009053050878145935,0.712,0.38972810239999994,35.71333333333333,65.66666666666667,70.87,31.199368904315218,0.22904109589041094,0.21279042186499836,0.6007287080613329
SC0000268,BPCL (BHARAT PETROLEUM CORPORATION LTD.),"Refined fuels, lubricants",2019.0,DEC,INDIA,SA,1,"Oil, Gas & Refining",72.3,68.5,82.1,71.29,0.7717,0.01,0.993,7.125,346.87,0.347,0.578,0,1,BRCGS,24.0,10.0,0.935,0.027,0.0,78.8,0.781,70.64,6489.69,1.38,1.032,36515.0,7322.0,506.0,High,0.07717,0.909755,2.4,0.46249999999999997,0.0,74.6875,43.379999999999995,86.66999999999999,21.663599359323186,0.5592028985507247,0.5418949048259704,0.8765994094488189
SC0000269,JAMAICA PRODUCERS GROUP,"Beverages, bottling, consumer goods distribution",2023.0,JUL,JAMAICA,LAC,2,Food & Beverage Processing,46.99,68.69,65.6,55.02,0.0917,3.544,1.055,3.507,0.01,0.581,0.222,1,0,BRCGS,25.0,6957.0,0.422,0.04,3.0,98.56,0.041,68.68,36687.14,1.05,0.79,30350.0,11212.0,1555.0,High,1.3180968808394423e-05,0.40512,0.0035935029466724164,0.40149999999999997,0.09274547200000001,53.26266666666667,41.52733333333334,63.61999999999999,26.35869878275216,0.08733333333333333,0.07709804508429627,0.43720700715519367
SC0000270,NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC),"Crude oil, refined petroleum products (via subsidiaries)",2022.0,JAN,NIGERIA,SSA,1,"Oil, Gas & Refining",71.32,72.98,80.08,67.56,0.4832,5.157,2.633,7.44,377.33,0.778,0.293,2,1,Fairtrade,53.0,13552.0,0.827,0.072,0.0,60.73,0.483,82.92,16463.9,0.907,1.425,17703.0,13969.0,6708.0,High,3.565525383707202e-05,0.767456,0.00391086186540732,0.5355,0.42424967680000003,44.056333333333335,69.45866666666667,79.69999999999999,28.363919083075313,0.5327453142227122,0.4632046424598717,0.4885095206828628
SC0000271,ARCELORMITTAL SOUTH AFRICA,Steel products (flat and long steel),2021.0,FEB,SOUTH AFRICA,SSA,1,Steel & Metallurgical,78.9,82.97,69.44,83.52,1.4029,1.671,1.38,5.394,393.81,0.674,0.492,3,0,BRCGS,6.0,19320.0,1.0,0.025,0.0,72.46,0.248,76.85,5618.39,0.51,1.35,32870.0,11986.0,6412.0,High,7.261387163561077e-05,0.975,0.00031055900621118014,0.583,0.7492875,50.107499999999995,87.33999999999999,69.67999999999999,32.80567869768027,2.7507843137254904,1.0142259202957944,0.6387211367673179
SC0000272,KUMBA IRON ORE,Iron ore (lump and fines),2020.0,MAY,SOUTH AFRICA,SSA,1,Metals & Mining (Primary),58.15,54.88,58.0,60.22,0.1546,1.462,0.788,3.329,254.0,0.665,0.285,2,0,BRCGS,42.0,10062.0,0.615,0.001,0.0,91.02,0.567,80.41,15091.73,0.953,1.127,78503.0,11309.0,3112.0,Moderate,1.5364738620552572e-05,0.614385,0.0041741204531902205,0.475,0.3293513189999999,41.14083333333334,61.55666666666666,70.34,32.80567869768027,0.16222455403987407,0.18946158517910738,0.5967019179064348
SC0000273,VEDANTA ALUMINIUM,"Aluminium billets, ingots, rolled products",2021.0,DEC,INDIA,SA,1,Steel & Metallurgical,69.35,68.03,64.01,79.01,0.5595,5.722,3.637,7.602,635.06,0.48,0.544,2,1,BRCGS,33.0,18100.0,0.877,0.079,0.0,87.13,0.346,79.77,16835.92,1.503,1.085,39316.0,1863.0,2518.0,High,3.091160220994475e-05,0.807717,0.0018232044198895029,0.512,0.4295439006,55.59333333333334,68.27666666666666,68.925,21.663599359323186,0.3722554890219561,0.5027323002451106,0.44820470491126707
SC0000274,ASTRAZENECA,Pharmaceutical products,2024.0,OCT,UNITED KINGDOM,ECA,1,Pharmaceuticals & Healthcare,74.75,67.32,76.16,80.58,0.1485,1.708,0.535,2.716,337.48,0.544,0.47,2,1,BRCGS,24.0,10410.0,1.0,0.04,0.0,92.42,0.228,76.93,7776.82,0.76,0.657,14694.0,9991.0,4133.0,Moderate,1.4265129682997117e-05,0.96,0.0023054755043227667,0.507,0.492352,32.28333333333333,71.51666666666668,72.63999999999999,31.199368904315218,0.19539473684210526,0.21756352149538163,0.5476910667473281
SC0000275,KONKOLA COPPER MINES (KCM),Copper concentrate and refined copper (historical operations),2025.0,OCT,ZAMBIA,SSA,1,Metals & Mining (Primary),66.69,59.68,72.13,66.57,0.0862,2.678,1.156,1.266,207.83,0.554,0.378,3,1,ISO 9001; SA8000,33.0,10.0,0.949,0.033,1.0,72.76,0.552,89.79,10383.19,0.95,0.993,44010.0,15647.0,5678.0,Moderate,0.00862,0.9176829999999999,3.3,0.466,0.8239875657,28.063499999999998,80.014,77.105,10.904098051499926,0.09073684210526316,0.17533344347667693,0.5250980392156863
SC0000276,UPL LIMITED,"Crop protection chemicals, agrochemicals",2024.0,DEC,INDIA,SA,1,Agrochemical,45.18,47.26,48.68,43.37,0.1305,1.276,0.455,2.997,217.67,0.975,0.279,2,0,BRCGS,26.0,17609.0,0.896,0.071,0.0,89.13,0.312,78.29,7924.64,1.406,0.933,51220.0,11094.0,4633.0,Moderate,7.410983020046567e-06,0.832384,0.0014765176898177068,0.627,0.43444895573333336,51.87283333333333,53.77466666666666,60.58,21.663599359323186,0.09281650071123757,0.1891009312884202,0.6338832487309645
SC0000277,HAIER SMART HOME,Electric vehicles,2022.0,JAN,CHINA,EAP,1,Automotive & Transportation,74.56,70.77,86.88,69.59,0.0914,1.1,0.651,1.082,172.32,0.817,0.779,2,1,BRCGS,36.0,12334.0,0.784,0.032,0.0,80.25,0.268,71.07,5348.87,1.656,0.934,52254.0,8662.0,4796.0,Moderate,7.4104102480946976e-06,0.758912,0.0029187611480460517,0.798,0.3595725055999999,44.36233333333333,71.40266666666668,78.8,30.6439238528046,0.05519323671497584,0.15858230509016025,0.3882809742322626
SC0000278,LENOVO GROUP LIMITED,"Laptops, servers, PC components",2024.0,OCT,CHINA,EAP,1,"Electronics, Semiconductors & Technology",82.67,91.31,79.91,79.09,0.1229,1.615,0.993,3.718,184.41,0.319,0.449,2,1,RSPO; ISO 14001,66.0,26300.0,0.719,0.043,0.0,79.21,0.086,57.28,24884.75,1.585,1.11,33586.0,15748.0,658.0,Moderate,4.673003802281368e-06,0.688083,0.0025095057034220532,0.384,0.2627559616,41.24633333333333,76.26866666666666,71.67499999999998,30.6439238528046,0.07753943217665615,0.12119191409532552,0.5877331647170407
SC0000279,EMBRAER S.A.,Regional jets and aerospace components,2023.0,SEP,BRAZIL,LAC,1,"Consumer Goods, Retail & Logistics",65.33,54.3,75.24,65.59,0.1232,1.568,0.671,2.397,142.54,0.694,0.37,3,0,BRCGS,42.0,5029.0,1.0,0.047,1.0,81.56,0.442,61.58,20288.98,1.243,1.196,41131.0,2546.0,4993.0,Moderate,2.4497912109763372e-05,0.953,0.008351560946510241,0.532,0.5868574,33.8595,79.19800000000001,76.46,49.36080081817054,0.09911504424778761,0.17430523642895585,0.5170405522001726
SC0000280,INDIAN OIL CORPORATION (IOC),"Refined petroleum products, fuels",2025.0,MAY,INDIA,SA,1,"Oil, Gas & Refining",52.37,50.08,53.83,50.17,0.5393,4.286,1.065,3.365,297.18,0.338,0.123,3,0,BRCGS,16.0,7514.0,0.795,0.05,1.0,100.0,0.275,70.03,8598.13,1.403,0.956,45857.0,6060.0,2231.0,High,7.177269097684322e-05,0.75525,0.002129358530742614,0.2305,0.528901575,51.198,71.422,62.415000000000006,21.663599359323186,0.38439059158945116,0.41669084994251965,0.49173932996787517
SC0000281,KAZMUNAYGAS,Crude oil and petroleum products,2024.0,JUL,KAZAKHSTAN,ECA,1,"Oil, Gas & Refining",83.14,83.87,91.56,75.2,0.8075,0.01,2.073,7.737,243.48,0.564,0.0,2,1,Fairtrade,24.0,15199.0,0.489,0.094,1.0,75.81,0.068,69.81,14786.89,1.255,1.393,24067.0,11761.0,3347.0,High,5.3128495295743144e-05,0.443034,0.0015790512533719323,0.282,0.2061880236,53.246833333333335,76.55066666666667,77.14000000000001,58.56135266628837,0.6434262948207172,0.5823656716225513,0.7878818737270875
SC0000282,RIO TINTO GROUP,Iron ore,2023.0,AUG,UNITED KINGDOM,ECA,1,Australia,80.36,77.05,81.78,87.05,0.1924,0.978,0.626,2.759,68.38,0.68,0.0,3,0,FSSC 22000; Fairtrade,45.0,10.0,0.802,0.059,0.0,80.91,0.462,80.47,15379.4,1.077,0.762,54109.0,6884.0,847.0,Moderate,0.01924,0.7546820000000001,4.5,0.34,0.6072926054000001,27.839000000000002,88.21600000000001,80.13,31.199368904315218,0.17864438254410397,0.14159224615972713,0.6323630529452212
SC0000283,UPM-KYMMENE,"Pulp, timber, paper products",2019.0,JAN,FINLAND,ECA,1,Industrial Manufacturing & Construction,52.42,51.79,61.76,48.26,0.2147,3.398,0.798,3.918,128.55,0.718,0.539,3,0,BRCGS,9.0,11950.0,0.771,0.092,0.0,96.09,0.182,56.35,21222.58,1.098,1.131,37405.0,10852.0,5502.0,High,1.796652719665272e-05,0.700068,0.0007531380753138076,0.6285000000000001,0.394488318,38.4905,71.452,64.52,16.933591877876424,0.19553734061930783,0.2335448136937372,0.48286911510968694
SC0000284,LUCKY CEMENT,Cement and clinker,2023.0,FEB,PAKISTAN,MENA-AP,1,Industrial Manufacturing & Construction,30.36,59.5,65.01,66.44,0.1422,3.078,1.198,3.402,138.89,0.456,0.083,1,0,BRCGS,1.0,2.0,0.374,0.039,2.0,71.81,0.133,45.17,37756.16,0.762,1.012,28881.0,24394.0,1.0,High,0.0711,0.359414,0.5,0.2695,0.054115767933333336,56.025666666666666,31.54933333333333,65.16499999999999,42.48403887742643,0.18661417322834645,0.11402821309564166,0.4430841364938786
SC0000285,"GREEN BHUTAN AGRICULTURE EXPORTERS (CARDAMOM, CITRUS)","Cardamom, citrus, horticultural exports",2024.0,MAR,BHUTAN,SA,2,Agriculture & Agribusiness,44.36,64.71,72.61,69.3,0.0944,2.007,0.617,3.232,334.99,0.331,0.316,1,0,BRCGS,24.0,7083.0,0.419,0.0,1.0,55.23,0.28,34.36,48477.26,1.592,1.278,25060.0,5085.0,1010.0,High,1.3327686008753353e-05,0.419,0.0033883947479881405,0.3235,0.04798946666666666,62.38066666666666,39.949333333333335,71.905,4.335087907753913,0.0592964824120603,0.1402196089974434,0.551912568306011
SC0000286,ARCELORMITTAL BRASIL,"Flat steel, long steel products",2020.0,SEP,BRAZIL,LAC,1,Steel & Metallurgical,67.01,70.71,68.79,67.14,0.9579,6.783,1.783,9.593,412.47,0.651,0.7,2,0,LEED,46.0,14394.0,0.473,0.038,2.0,73.9,0.435,87.02,37741.41,1.163,0.614,43912.0,23570.0,5974.0,High,6.6548561900792e-05,0.455026,0.0031957760177851883,0.6755,0.2639757501333333,61.27233333333333,66.87266666666667,73.095,49.36080081817054,0.8236457437661221,0.7448604035418797,0.5282779888760395
SC0000287,CHIQUITA,"Bananas, tropical fruit exports",2020.0,AUG,COSTA RICA,LAC,1,Food & Beverage Processing,70.83,65.37,74.31,73.67,0.0975,1.773,1.542,1.891,187.87,0.682,0.3,1,1,FSSC 22000,1.0,9623.0,0.886,0.044,1.0,89.71,0.345,61.14,10840.86,1.029,0.664,15200.0,19233.0,2624.0,Moderate,1.0131975475423465e-05,0.847016,0.0001039176971838304,0.491,0.1726218608,44.748666666666665,55.83133333333333,74.05499999999999,25.47320264096782,0.09475218658892129,0.1345985652808664,0.3632347291586631
SC0000288,BRAC ENTERPRISES (BANGLADESH),"Smallholder agri inputs, processed goods",2019.0,MAR,BANGLADESH,SA,2,Agriculture & Agribusiness,64.25,63.24,57.53,72.1,0.1475,0.672,0.459,3.264,213.56,0.314,0.366,2,0,ISO 9001,14.0,16005.0,0.949,0.07,3.0,94.44,0.317,71.19,14792.94,1.083,1.315,13135.0,19346.0,1.0,High,9.215870040612308e-06,0.8825699999999999,0.0008747266479225242,0.33999999999999997,0.4188677219999999,40.778333333333336,65.21666666666665,65.105,3.6514507742088966,0.13619575253924285,0.13264342530655443,0.7426621160409557
SC0000289,PDVSA (PETRÃ³LEOS DE VENEZUELA S.A.),Crude oil and petroleum products,2022.0,DEC,VENEZUELA,LAC,1,"Oil, Gas & Refining",97.07,96.61,90.24,100.0,0.8631,4.541,2.371,9.806,319.62,0.927,0.756,2,1,RSPO; ISO 14001,18.0,21234.0,0.691,0.039,3.0,98.36,0.297,61.85,46567.64,2.072,1.549,23453.0,12403.0,3581.0,High,4.0647075445040974e-05,0.664051,0.0008476970895733258,0.8415,0.27381036233333333,62.01633333333334,84.90866666666665,81.06,78.120009635022,0.41655405405405405,0.634789244283609,0.5865534154803206
SC0000290,TRINIDAD AND TOBAGO,Liquefied natural gas (LNG) production and export,2019.0,NOV,TRINIDAD AND TOBAGO,LAC,1,"Oil, Gas & Refining",61.0,54.76,56.57,73.89,0.0918,2.342,1.095,1.832,273.69,0.587,0.749,1,1,Fairtrade; ISO 9001; SA8000,1.0,18716.0,0.979,0.049,0.0,83.34,0.653,68.47,10482.78,1.032,0.685,37367.0,15518.0,4099.0,Moderate,4.904894208164138e-06,0.9310289999999999,5.3430220132506944e-05,0.6679999999999999,0.21249185209999993,48.09166666666667,49.93333333333333,71.345,28.737260953911004,0.08895348837209302,0.16987429377203692,0.4444866198519643
SC0000291,COMPAÃÃA DE MINAS BUENAVENTURA,"Gold, silver and base metals mining",2019.0,JUL,PERU,LAC,1,Metals & Mining (Primary),28.34,26.27,33.07,23.62,0.1849,1.496,0.622,3.984,67.21,0.266,0.09,1,1,Fairtrade,15.0,10769.0,0.903,0.047,0.0,78.02,0.184,68.14,14962.54,1.067,0.995,40480.0,10741.0,3995.0,High,1.7169653635435044e-05,0.860559,0.0013928869904355093,0.178,0.19546163419999998,62.37516666666667,30.337333333333333,50.214999999999996,71.90867638366379,0.1732895970009372,0.18157477231133942,0.6529006882989183
SC0000292,NISHAT MILLS LIMITED,"Cotton yarn, fabrics and garments",2024.0,MAR,PAKISTAN,MENA-AP,1,"Consumer Goods, Retail & Logistics",70.05,67.74,70.33,71.43,0.2101,1.518,0.407,3.482,232.51,0.648,0.701,1,0,FSSC 22000,31.0,14922.0,0.929,0.005,0.0,72.44,0.33,84.82,4455.71,1.331,1.135,21432.0,13109.0,4305.0,Moderate,1.4079882053344056e-05,0.924355,0.0020774695081088325,0.6745,0.2613459703333333,52.366666666666674,55.36333333333333,71.76500000000001,42.48403887742643,0.1578512396694215,0.23526856928857234,0.6439800258923618
SC0000293,LUCARA BOTSWANA,Large gem diamonds (specialty),2019.0,JUN,BOTSWANA,SSA,2,"Consumer Goods, Retail & Logistics",90.11,96.55,81.13,96.13,0.1257,1.641,0.634,2.318,173.85,0.545,0.731,3,1,LEED; SA8000; RSPO,36.0,10515.0,0.9,0.027,0.0,100.0,0.026,73.32,13713.84,1.007,1.017,45426.0,8456.0,1829.0,Moderate,1.1954350927246791e-05,0.8757,0.0034236804564907277,0.638,0.64206324,21.708999999999996,94.066,71.085,10.781594544532185,0.12482621648460776,0.1373257051451803,0.5046810363596778
SC0000294,BURUNDI COFFEE COOPERATIVES (ABUCA/OTHER EXPORTERS),Green coffee (arabica) and specialty lots,2025.0,APR,BURUNDI,SSA,2,Agriculture & Agribusiness,94.68,96.38,89.63,95.68,0.0817,1.63,0.582,2.346,229.37,0.319,0.623,3,1,BRCGS,30.0,19231.0,0.983,0.031,0.0,90.54,0.452,53.18,6737.03,1.317,1.31,28793.0,19079.0,1723.0,Low,4.248349019811762e-06,0.952527,0.0015599812802246373,0.471,0.5065538586,23.659499999999994,96.808,83.855,4.898114708110145,0.06203492786636294,0.12089640854858083,0.5146994295743748
SC0000295,VOLVO GROUP,"Commercial vehicles, engines",2021.0,SEP,SWEDEN,ECA,1,Automotive & Transportation,74.79,78.58,72.07,74.23,0.1882,2.932,0.665,2.169,220.43,0.526,0.267,3,0,BRCGS,33.0,8285.0,0.954,0.058,0.0,89.51,0.378,78.14,14926.74,0.952,1.207,66775.0,4601.0,2748.0,Moderate,2.271575135787568e-05,0.8986679999999999,0.003983101991550996,0.3965,0.7022191751999999,27.8085,84.87400000000001,73.595,16.19232287495515,0.19768907563025212,0.19751081713994983,0.5084980922650018
SC0000296,TVS MOTOR COMPANY,"Motorcycles, auto components",2025.0,OCT,INDIA,SA,1,Automotive & Transportation,81.85,75.73,85.32,84.1,0.1014,2.395,0.669,2.666,271.18,0.383,0.0,2,1,FSSC 22000; BRCGS,36.0,2363.0,0.891,0.004,0.0,85.89,0.495,65.7,11292.74,1.302,0.867,24884.0,9350.0,2699.0,Moderate,4.2911553110452814e-05,0.887436,0.01523487092678798,0.1915,0.388696968,36.75083333333334,75.77666666666666,82.55999999999999,21.663599359323186,0.07788018433179723,0.1552253150321251,0.4652705061082024
SC0000297,ASIAN AGRI,"Crude Palm Oil (CPO), Crude Palm Kernel Oil (CPKO)",2024.0,APR,INDONESIA,EAP,1,Agriculture & Agribusiness,79.94,81.54,77.35,86.7,0.0693,1.852,0.763,1.933,192.14,0.617,0.455,2,0,BRCGS,32.0,9004.0,0.479,0.101,2.0,93.24,0.467,60.9,31925.15,1.332,2.123,75306.0,11626.0,3999.0,High,7.696579298089738e-06,0.430621,0.003553976010661928,0.536,0.17483212599999998,37.066833333333335,74.63066666666667,78.015,43.19268395136461,0.05202702702702702,0.1380961768757323,0.42502198768689536
SC0000298,FIAT (STELLANTIS),Automobiles and components,2023.0,MAY,ITALY,ECA,1,Automotive & Transportation,84.47,87.11,80.48,88.16,0.1256,1.299,0.167,2.951,35.61,0.321,0.211,2,1,BRCGS,7.0,11499.0,0.801,0.037,0.0,86.22,0.035,64.49,15432.51,1.046,0.861,67884.0,19410.0,3158.0,Moderate,1.0922688929472126e-05,0.771363,0.0006087485868336377,0.266,0.33163466579999995,32.59883333333333,77.34866666666666,70.94,16.718105297834896,0.12007648183556403,0.12757120489744733,0.6681005207154177
SC0000299,ETHIOPIAN SUGAR CORPORATION,"Raw sugar, refined sugar (state and large sugar estates)",2020.0,JAN,ETHIOPIA,SSA,1,Agriculture & Agribusiness,77.72,79.95,81.33,76.57,0.0665,1.286,0.564,2.456,362.87,0.651,0.453,3,1,ISO 14001,36.0,7597.0,0.706,0.021,0.0,94.59,0.081,67.48,13953.57,1.094,1.121,28995.0,11058.0,3735.0,Moderate,8.753455311307096e-06,0.691174,0.004738712649730157,0.552,0.4664042152,25.870499999999996,86.632,72.285,22.160033947630776,0.06078610603290676,0.1679574683991381,0.5703669298653042
SC0000300,RICHTER GEDEON,Pharmaceuticals,2024.0,DEC,HUNGARY,ECA,1,Pharmaceuticals & Healthcare,72.41,84.86,74.92,62.11,0.12,2.471,1.089,1.997,185.24,0.396,0.549,1,1,RSPO,22.0,4382.0,0.955,0.025,3.0,79.78,0.434,75.17,"6.798,66",0.868,0.651,60979.0,11669.0,7838.0,Moderate,2.738475581926061e-05,0.931125,0.005020538566864446,0.47250000000000003,0.2333088875,42.34316666666666,56.77933333333333,76.14,36.1004628209994,0.13824884792626727,0.22163144140962848,0.44466438725931257
SC0000301,NATIONAL COMMODITY AND DERIVATIVES EXCHANGE (LOCAL TRADERS),"Wheat, almonds, dried fruit trade",2024.0,AUG,AFGHANISTAN,SA,2,Agriculture & Agribusiness,47.25,73.19,67.28,60.25,0.0944,2.748,0.661,5.505,272.33,0.477,0.554,1,0,BRCGS,43.0,4169.0,0.416,0.043,2.0,83.52,0.612,72.52,55772,0.843,0.969,21322.0,14667.0,2548.0,High,2.264331974094507e-05,0.39811199999999997,0.010314224034540657,0.5155000000000001,0.09623694079999998,50.134166666666665,41.68333333333333,75.88000000000001,0.0,0.11198102016607354,0.1491177415815209,0.6175678707650887
SC0000302,"LYGEND RESOURCES AND TECHNOLOGY CO., LTD.",Mixed hydroxide percipitate (MHP) nickel,2020.0,JUL,INDONESIA,EAP,1,Metals & Mining (Primary),61.64,71.45,60.57,55.76,0.7398,3.615,1.224,9.407,336.27,0.537,0.462,1,1,BRCGS,40.0,11204.0,0.61,0.122,1.0,71.06,0.265,88.46,26613.64,1.03,1.062,28158.0,10777.0,1363.0,High,6.602998928953945e-05,0.53558,0.003570153516601214,0.49950000000000006,0.1579246893333333,64.03766666666667,50.31733333333334,65.58500000000001,43.19268395136461,0.718252427184466,0.5327393552085099,0.6603257054611821
SC0000303,SIAM CEMENT GROUP (SCG),Cement,2021.0,NOV,THAILAND,EAP,1,Thailand,66.12,77.91,56.39,61.38,0.1821,2.039,1.252,3.106,75.21,0.484,0.503,1,1,BRCGS,11.0,17516.0,0.924,0.057,0.0,74.46,0.204,51.08,21739.09,1.058,1.156,29721.0,9553.0,2988.0,High,1.0396209180178123e-05,0.871332,0.0006279972596483215,0.4935,0.1483587952,48.94716666666666,53.00533333333334,62.27499999999999,8.598878432366831,0.172117202268431,0.16724178434986497,0.48554009692043143
