Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification,Emission_to_Capacity_Ratio,Operational_Reliability_Index,LeadTime_Capacity_Ratio,Green_Efficiency_Score,Resilience_Score,Sustainability_Risk_Index,ESG_Compliance_Composite,Social_Responsibility_Score,Regional_Risk_Index,Emission_Per_Dollar,Emission_Votality
SYN_SUP_04341,SYN_COM_04341,Synthetic Supplier 4341,Synthetic Commodity 4341,Indonesia,South America,2,Metals,71.42541823,71.60463582,52.62258419,57.28157968,0.511,1303.6,0.31,0.84,2,0,39,44777,0.921153726,0.048,74.58626866,0.33,70.60193345,0.13,70.92,3,3453,Moderate,1.14E-05,0.876938347,0.000870983,0.575,0.436050394,36.05943695,69.52191761,58.9112921,31.9331177,1.548484848,0.565518135
SYN_SUP_04342,SYN_COM_04342,Synthetic Supplier 4342,Synthetic Commodity 4342,USA,North America,3,Electronics,62.6829258,100,71.91761146,80.05384478,0.8042,1048.74,0.64,0.8,0,1,17,11153,0.939040119,0.041,73.48432701,1.22,74.43659262,0.59,81.8,0,10662,Low,7.21E-05,0.900539474,0.001524254,0.72,0,76.46597597,37.60975548,77.75880573,8.865419883,0.659180328,0.787980522
SYN_SUP_04343,SYN_COM_04343,Synthetic Supplier 4343,Synthetic Commodity 4343,Brazil,South America,2,Electronics,65.78834569,55.97768953,65.68317751,63.81222065,0.558,666.93,0.25,0.43,3,0,38,8663,0.98553332,0.046,90.61286123,0.2,89.56075857,0.68,66.65,1,10974,Low,6.44E-05,0.940198787,0.004386471,0.34,0.851941022,28.92407901,79.47300741,76.44158875,14.99576555,2.79,0.578316845
SYN_SUP_04344,SYN_COM_04344,Synthetic Supplier 4344,Synthetic Commodity 4344,brazil,South America,2,Electronics,43.16401849,47.04184281,67.90691988,52.09996941,0.7023,1015.16,0.6,0.09,2,1,18,47041,0.939860238,0.026,89.85238101,0.87,96.68578685,0.12,74.2,2,10147,Moderate,1.49E-05,0.915423872,0.000382645,0.345,0.54835343,58.83342686,52.56507776,66.35345994,76.48643639,0.807241379,0.714582594
SYN_SUP_04345,SYN_COM_04345,Synthetic Supplier 4345,Synthetic Commodity 4345,Malaysia,Asia-Pacific,2,Agriculture,70.90483954,66.12816895,85.18896963,70.67189837,0.2849,163.25,0.75,0.37,2,0,30,31240,0.844990487,0.04,78.78480202,0.65,45.4811139,0.27,69.98,0,4019,Low,9.12E-06,0.811190868,0.000960307,0.56,0.426063413,35.38913949,69.20957039,77.99448481,19.51874501,0.438307692,0.240258253
SYN_SUP_04346,SYN_COM_04346,Synthetic Supplier 4346,Synthetic Commodity 4346,USA,North America,1,Electronics,64.73193053,81.20504784,83.94885779,64.68889224,0.4906,574.83,0.7,0.58,0,0,19,23884,0.821354821,0.034,88.82834837,1.72,52.36217274,0.14,65.6,0,4144,Moderate,2.05E-05,0.793428757,0.000795512,0.64,0,75.40882431,38.83915832,74.7744289,8.865419883,0.285232558,0.436243406
SYN_SUP_04347,SYN_COM_04347,Synthetic Supplier 4347,Synthetic Commodity 4347,Malaysia,Asia-Pacific,2,Agriculture,77.75680027,94.28670467,97.49381133,85.22186306,0.7917,1253.22,0.4,0.39,3,1,20,37415,0.848563466,0.056,81.38737817,1.17,55.60356256,0.3,63.08,1,7747,Low,2.12E-05,0.801043912,0.000534545,0.395,0.651948638,45.12761991,86.65408016,84.74690566,19.51874501,0.676666667,0.779156396
SYN_SUP_04348,SYN_COM_04348,Synthetic Supplier 4348,Synthetic Commodity 4348,Malaysia,Asia-Pacific,1,Metals,55.2574869,58.05781754,83.55917958,88.9421774,0.3354,1498.69,0.46,0.33,3,1,12,22570,0.97173139,0.026,67.94443593,1.55,71.91034948,0.55,69.84,1,5680,Moderate,1.49E-05,0.946466374,0.000531679,0.395,0.643071239,47.29487959,73.15449214,82.77958979,19.51874501,0.216387097,0.52176901
SYN_SUP_04349,SYN_COM_04349,Synthetic Supplier 4349,Synthetic Commodity 4349,China,Asia-Pacific,1,Electronics,52.87246059,66.9071367,50.17717589,60.4377197,0.2746,1212.58,0.68,0.62,0,0,49,9352,0.848727421,0.023,75.82676951,1.07,98.03520247,0.21,46.62,1,1306,Moderate,2.94E-05,0.82920669,0.005239521,0.65,0,64.4096388,31.72347635,59.28858794,25.09000292,0.256635514,0.381023258
SYN_SUP_04350,SYN_COM_04350,Synthetic Supplier 4350,Synthetic Commodity 4350,Brazil,South America,3,Electronics,51.234453,37.8372161,65.756038,47.565586,0.0855,1033.66,0.59,0.38,2,0,13,14024,0.922677548,0.035,61.92248971,1.05,36.30025241,0.67,80.56,1,848,Moderate,6.10E-06,0.890383834,0.000926982,0.485,0.367565225,43.28877478,57.40733846,76.278019,14.99576555,0.081428571,0.230950379
SYN_SUP_04351,SYN_COM_04351,Synthetic Supplier 4351,Synthetic Commodity 4351,Brazil,South America,2,Agriculture,72.03532692,64.84408263,87.24543711,83.34102745,0.4107,591.19,0.61,0.39,0,1,42,39028,0.850122734,0.011,60.58466768,1.3,75.10753109,0.78,66.49,1,9978,Low,1.05E-05,0.840771384,0.00107615,0.5,0,64.55513558,43.22119615,89.22271855,14.99576555,0.315923077,0.464367822
SYN_SUP_04352,SYN_COM_04352,Synthetic Supplier 4352,Synthetic Commodity 4352,Brazil,South America,2,Electronics,54.72489037,65.11367387,52.21317665,41.08282809,0.7229,1375.38,0.77,0.48,0,1,28,20440,0.872802015,0.036,100,1.18,98.39531,0.28,55.9,1,3205,Moderate,3.54E-05,0.841381143,0.001369863,0.625,0,76.61878837,32.83493422,61.70658832,14.99576555,0.612627119,0.701926397
SYN_SUP_04353,SYN_COM_04353,Synthetic Supplier 4353,Synthetic Commodity 4353,Japan,Asia-Pacific,3,Electronics,44.77943236,38.14344507,42.51231269,46.80956952,0.9632,986.23,0.59,0.61,2,1,42,35840,0.891277657,0.021,90.39136407,1.43,59.5152436,0.81,76.37,4,9926,High,2.69E-05,0.872560826,0.001171875,0.6,0.525813089,73.19053201,53.53432608,67.45615634,27.64600311,0.673566434,0.863357765
SYN_SUP_04354,SYN_COM_04354,Synthetic Supplier 4354,Synthetic Commodity 4354,Indonesia,Asia-Pacific,3,Metals,56.132651,52.2968758,76.88898011,57.1819465,0.5682,966.58,0.63,0.55,0,0,46,2773,0.852634643,0.052,74.58531474,1.09,71.07185383,0.27,52.3,1,10886,Moderate,0.000204904,0.808297641,0.016588532,0.59,0,70.90857215,33.6795906,73.84449006,35.15983525,0.521284404,0.635020447
SYN_SUP_04355,SYN_COM_04355,Synthetic Supplier 4355,Synthetic Commodity 4355,USA,North America,2,Agriculture,73.55741658,94.42307471,79.45198941,84.14619754,0.7709,161.35,0.59,0.61,2,1,47,747,0.823828245,0.031,86.47736341,0.52,76.12515778,0.59,49.42,1,5553,Low,0.001031995,0.79828957,0.06291834,0.6,0.460226515,44.66073753,70.80111661,81.52599471,8.865419883,1.4825,0.550788964
SYN_SUP_04356,SYN_COM_04356,Synthetic Supplier 4356,Synthetic Commodity 4356,Indonesia,South America,1,Food & Beverage,73.25805531,55.99412226,69.97810876,98.3625774,0.0937,1203.19,0.81,0.02,0,1,42,31292,0.903088443,0.024,81.56287108,0.62,64.60739805,0.6,68.16,1,6595,Moderate,2.99E-06,0.88141432,0.001342196,0.415,0,46.00218064,43.95483318,76.98905438,31.9331177,0.151129032,0.337263756
SYN_SUP_04357,SYN_COM_04357,Synthetic Supplier 4357,Synthetic Commodity 4357,Japan,Asia-Pacific,3,Food & Beverage,69.62142929,61.48367065,82.69599808,55.46604733,0.4727,1165.53,0.2,0.3,0,1,42,40715,0.937433128,0.018,63.80590801,1.12,88.2485251,0.12,65.87,0,1539,Low,1.16E-05,0.920559332,0.001031561,0.25,0,64.24999975,41.77285757,73.74799904,27.64600311,0.422053571,0.494692503
SYN_SUP_04358,SYN_COM_04358,Synthetic Supplier 4358,Synthetic Commodity 4358,China,Asia-Pacific,3,Chemicals,66.31216455,50.56722143,93.73371561,68.9367006,0.9306,147.33,0.89,0.09,0,0,13,10412,0.947244704,0.021,98.9076997,0.5,69.72641227,0.46,76.89,1,11323,Low,8.94E-05,0.927352565,0.001248559,0.49,0,67.55574241,39.78729873,86.0668578,25.09000292,1.8612,0.716629473
SYN_SUP_04359,SYN_COM_04359,Synthetic Supplier 4359,Synthetic Commodity 4359,China,Asia-Pacific,2,Metals,84.61119472,72.28375619,76.68251107,72.49105861,0.5697,936.34,0.61,0.26,2,0,32,14657,0.870681307,0.036,97.89328028,0.94,59.99225508,0.45,74.12,1,10031,Moderate,3.89E-05,0.83933678,0.002183257,0.435,0.547769538,42.06191518,77.4333835,77.34125554,25.09000292,0.60606383,0.619970158
SYN_SUP_04360,SYN_COM_04360,Synthetic Supplier 4360,Synthetic Commodity 4360,Japan,Asia-Pacific,1,Agriculture,56.12793837,53.57520446,52.93815615,38.35369795,0.5821,1035.23,0.42,0.47,2,1,20,11154,0.92579104,0.022,68.8538362,0.93,80.52523544,0.59,73.61,2,1580,Moderate,5.22E-05,0.905423637,0.001793079,0.445,0.415612605,52.1910549,60.34342969,68.26907807,27.64600311,0.625913978,0.53837102
SYN_SUP_04361,SYN_COM_04361,Synthetic Supplier 4361,Synthetic Commodity 4361,China,Asia-Pacific,1,Metals,69.31229384,83.21599977,86.83821465,69.68290267,0.354,1110.21,0.75,0.39,2,0,10,17406,0.861471016,0.024,69.02132323,0.73,60.67400785,0.69,40.75,1,4001,Low,2.03E-05,0.840795712,0.000574515,0.57,0.386885551,38.87403049,68.25404297,87.21910732,25.09000292,0.484931507,0.444838969
SYN_SUP_04362,SYN_COM_04362,Synthetic Supplier 4362,Synthetic Commodity 4362,India,Asia-Pacific,2,Electronics,70.59758155,65.89228528,100,91.99531003,0.1807,935.98,0.35,0.6,0,1,21,22550,0.861886535,0.035,93.03200509,1.29,90.74974254,0.63,74.41,1,1228,Low,8.01E-06,0.831720506,0.000931264,0.475,0,59.15834646,42.35854893,92.6,9.261089909,0.140077519,0.275991655
SYN_SUP_04363,SYN_COM_04363,Synthetic Supplier 4363,Synthetic Commodity 4363,Brazil,Asia-Pacific,1,Electronics,77.77152111,78.13290914,79.53466962,80.4531131,0.2101,1021.5,0.6,0.45,3,0,29,12759,0.816003165,0.038,68.19195663,0.45,92.29687228,0.52,68.45,1,10894,Low,1.65E-05,0.784995044,0.002272905,0.525,0.53530348,19.78246761,86.66291267,80.16733481,18.22248311,0.466888889,0.429734356
SYN_SUP_04364,SYN_COM_04364,Synthetic Supplier 4364,Synthetic Commodity 4364,Brazil,South America,3,Electronics,59.07052867,56.72772711,67.80788328,48.58500745,0.3779,704.75,0.56,0.54,0,1,15,25919,0.801615467,0.028,94.0745322,0.23,52.46284191,0.74,79.73,1,2176,Moderate,1.46E-05,0.779170234,0.000578726,0.55,0,52.22281497,35.4423172,78.70394164,14.99576555,1.643043478,0.366327007
SYN_SUP_04365,SYN_COM_04365,Synthetic Supplier 4365,Synthetic Commodity 4365,Indonesia,Asia-Pacific,2,Agriculture,53.66685662,69.63020733,48.34064715,39.87991699,0.8865,1112.86,0.8,0.48,0,1,18,30664,0.900785526,0.041,57.89649754,0.46,49.6382453,0.1,61.19,1,5494,Moderate,2.89E-05,0.86385332,0.000587008,0.64,0,70.27910018,32.20011397,56.17032357,35.15983525,1.927173913,0.783539806
SYN_SUP_04366,SYN_COM_04366,Synthetic Supplier 4366,Synthetic Commodity 4366,China,Asia-Pacific,3,Food & Beverage,61.50346103,71.35966193,57.4284815,54.42398502,0.7899,147.16,0.65,0.36,1,0,39,12868,0.889045683,0.025,45.28729702,1.11,60.79528883,0.51,77.52,1,6910,Moderate,6.14E-05,0.866819541,0.003030774,0.505,0.130853047,66.5379553,50.23540995,68.91424075,25.09000292,0.711621622,0.576777571
SYN_SUP_04367,SYN_COM_04367,Synthetic Supplier 4367,Synthetic Commodity 4367,Brazil,South America,2,Chemicals,67.82300813,90.80984984,94.25298695,73.50516394,0.7745,898.31,0.5,0.31,1,1,14,7985,0.968492351,0.039,50.63384427,0.62,61.20685857,0.76,77,0,8708,Moderate,9.70E-05,0.93072115,0.001753287,0.405,0.157086632,56.59111382,54.02713821,92.32649347,14.99576555,1.249193548,0.719680665
SYN_SUP_04368,SYN_COM_04368,Synthetic Supplier 4368,Synthetic Commodity 4368,Japan,Asia-Pacific,3,Chemicals,72.73775774,87.97424508,76.61339294,77.19488201,0.9482,1010.13,0.49,0.55,0,0,24,26528,0.901551449,0.034,61.72657316,1.05,73.84754717,0.63,66.53,1,8569,Low,3.57E-05,0.8708987,0.000904704,0.52,0,73.99678479,43.64265464,80.90669647,27.64600311,0.903047619,0.841444092
SYN_SUP_04369,SYN_COM_04369,Synthetic Supplier 4369,Synthetic Commodity 4369,malaysia,Asia-Pacific,1,Chemicals,70.4855687,56.7383969,68.3925202,81.01863904,0.8024,1037.11,0.68,0.39,3,1,41,20285,0.881549251,0.054,50.41313655,0.81,88.11047894,0.78,66.25,0,5832,Moderate,3.96E-05,0.833945592,0.002021198,0.535,0.42041813,42.54005096,82.29134122,79.7962601,10.14898003,0.990617284,0.724256632
SYN_SUP_04370,SYN_COM_04370,Synthetic Supplier 4370,Synthetic Commodity 4370,Brazil,South America,2,Agriculture,67.69120854,78.76774579,81.44924308,81.53948796,0.8249,757.68,0.55,0.56,2,1,13,32578,0.848510202,0.025,50.53814161,1.15,57.67957825,0.79,57.03,1,8821,Low,2.53E-05,0.827297447,0.000399042,0.555,0.278733837,57.51391034,67.28139179,86.52462154,14.99576555,0.717304348,0.727081217
SYN_SUP_04371,SYN_COM_04371,Synthetic Supplier 4371,Synthetic Commodity 4371,Indonesia,Asia-Pacific,3,Metals,62.86486568,52.47012288,62.01374196,67.61876699,0.3729,1282.22,0.58,0.21,0,0,17,21136,0.992793642,0.04,82.32920218,0.49,65.4011114,0.88,43.63,1,9113,Moderate,1.76E-05,0.953081896,0.000804315,0.395,0,54.66979701,37.71891941,78.60687098,35.15983525,0.761020408,0.55002809
SYN_SUP_04372,SYN_COM_04372,Synthetic Supplier 4372,Synthetic Commodity 4372,Brazil,South America,2,Electronics,48.98994116,54.28558765,56.39476323,70.72104944,0.3945,929.34,0.61,0.53,0,1,39,24001,0.980343423,0.024,58.38895651,1.36,48.43706713,0.22,73.8,2,11665,Moderate,1.64E-05,0.956815181,0.001624932,0.57,0,73.11602059,29.3939647,62.59738162,14.99576555,0.290073529,0.53415658
SYN_SUP_04373,SYN_COM_04373,Synthetic Supplier 4373,Synthetic Commodity 4373,India,Asia-Pacific,3,Agriculture,55.27952889,92.54395771,45.72191153,44.10674544,0.4517,580.32,0.64,0.82,2,0,31,26170,0.91254664,0.033,87.92935153,0.28,98.72532789,0.63,76.26,1,3553,Moderate,1.73E-05,0.882432601,0.001184562,0.73,0.517278176,39.47799822,59.834384,65.46095576,9.261089909,1.613214286,0.406430757
SYN_SUP_04374,SYN_COM_04374,Synthetic Supplier 4374,Synthetic Commodity 4374,USA,North America,2,Agriculture,73.97016122,62.16596102,64.33779132,68.61500285,0.7666,337.99,0.47,0.59,2,1,44,17986,0.887296428,0.021,67.54620932,1.18,69.59924097,0.37,53.17,1,5115,Moderate,4.26E-05,0.868663203,0.002446347,0.53,0.391166044,54.3087769,71.0487634,69.56889566,8.865419883,0.649661017,0.573179807
SYN_SUP_04375,SYN_COM_04375,Synthetic Supplier 4375,Synthetic Commodity 4375,USA,Asia-Pacific,3,Food & Beverage,67.28823283,83.60542377,62.21583006,79.75505706,0.4521,1002.41,0.64,0.77,1,0,36,17496,0.795711303,0.028,77.17032887,1.19,74.53338154,0.28,63.97,1,9319,Low,2.58E-05,0.773431387,0.002057613,0.705,0.198953182,57.26828518,53.70627303,66.70791503,18.12650979,0.379915966,0.551868226
SYN_SUP_04376,SYN_COM_04376,Synthetic Supplier 4376,Synthetic Commodity 4376,USA,North America,3,Agriculture,69.45697838,76.89297417,68.00026427,75.79453389,0.3196,1225.19,0.68,0.63,0,1,49,13400,0.83028356,0.027,61.36107547,1.15,72.88840356,0.45,73.12,3,5972,Low,2.39E-05,0.807865903,0.003656716,0.655,0,60.93005757,41.67418703,73.00013214,8.865419883,0.277913043,0.468777273
SYN_SUP_04377,SYN_COM_04377,Synthetic Supplier 4377,Synthetic Commodity 4377,Brazil,South America,3,Electronics,63.35826154,37.83074687,79.04518962,55.72340596,0.873,933.95,0.42,0.61,2,0,9,4934,0.857788049,0.049,91.56772378,0.94,64.34466073,0.53,85.6,1,1165,Moderate,0.000176936,0.815756435,0.001824078,0.515,0.497979733,57.08294179,64.68162359,80.12259481,14.99576555,0.928723404,0.690230561
SYN_SUP_04378,SYN_COM_04378,Synthetic Supplier 4378,Synthetic Commodity 4378,USA,North America,2,Agriculture,54.21021832,74.30003306,62.57757956,72.08326152,0.828,1078.83,0.61,0.46,0,1,35,14092,0.911353154,0.019,78.01899638,1.45,98.96611286,0.6,62.78,0,9217,Moderate,5.88E-05,0.894037444,0.002483679,0.535,0,83.47642359,32.52613099,73.28878978,8.865419883,0.571034483,0.789309812
SYN_SUP_04379,SYN_COM_04379,Synthetic Supplier 4379,Synthetic Commodity 4379,Japan,Asia-Pacific,2,Electronics,61.81191023,56.53006716,41.4764311,35.15419544,0.0628,168.46,0.71,0.43,3,1,36,35615,0.871981529,0.02,88.55958613,0.2,91.49969427,0.59,46.95,0,11078,Moderate,1.76E-06,0.854541899,0.00101081,0.57,0.756778769,17.93583142,77.08714614,62.53821555,27.64600311,0.314,0.196518483
SYN_SUP_04380,SYN_COM_04380,Synthetic Supplier 4380,Synthetic Commodity 4380,China,Asia-Pacific,3,Chemicals,63.18810735,68.11515015,71.47821937,61.82490468,0.751,558.24,0.58,0.58,2,1,41,21634,0.928589175,0.029,92.96732955,0.61,72.11997283,0.69,69.99,1,1060,Moderate,3.47E-05,0.901660089,0.001895165,0.58,0.558832871,49.14249576,64.57953108,79.53910968,25.09000292,1.231147541,0.550903923
SYN_SUP_04381,SYN_COM_04381,Synthetic Supplier 4381,Synthetic Commodity 4381,Malaysia,Asia-Pacific,3,Agriculture,58.6044696,49.7895983,53.31385367,42.26167672,0.4607,414.62,0.51,0.41,0,0,7,15885,0.893538892,0.031,71.82904761,0.65,65.51689536,0.6,73.65,1,9690,Moderate,2.90E-05,0.865839186,0.000440667,0.46,0,60.75593564,35.16268176,68.65692684,19.51874501,0.708769231,0.460294557
SYN_SUP_04382,SYN_COM_04382,Synthetic Supplier 4382,Synthetic Commodity 4382,china,South America,3,Metals,72.29893431,22.70885478,59.21786637,77.90622036,0.2565,1041.95,0.58,0.35,0,0,18,22487,0.867912597,0.044,92.13475446,1.56,92.35341711,0.27,74.38,0,393,Low,1.14E-05,0.829724443,0.000800462,0.465,0,64.50787299,43.37936058,65.00893318,31.90614996,0.164423077,0.329268117
SYN_SUP_04383,SYN_COM_04383,Synthetic Supplier 4383,Synthetic Commodity 4383,Japan,Asia-Pacific,3,Food & Beverage,55.65636063,83.86904441,72.99155001,69.68023847,0.4836,989.09,0.54,0.39,3,0,9,43594,0.896571377,0.048,61.10544344,0.62,61.11974928,0.1,62.03,0,11243,Moderate,1.11E-05,0.853535951,0.00020645,0.465,0.521556928,36.91027378,73.39381638,68.495775,27.64600311,0.78,0.592625251
SYN_SUP_04384,SYN_COM_04384,Synthetic Supplier 4384,Synthetic Commodity 4384,India,Asia-Pacific,3,Food & Beverage,57.59171709,84.51826371,66.57873141,62.12527306,0.4248,1437.99,0.64,0.4,1,1,32,16968,0.941982324,0.029,50.03513271,1.41,93.64552233,0.82,71.64,1,10830,Moderate,2.50E-05,0.914664837,0.001885903,0.52,0.152551255,63.27956568,47.88836359,79.6893657,9.261089909,0.301276596,0.629593682
SYN_SUP_04385,SYN_COM_04385,Synthetic Supplier 4385,Synthetic Commodity 4385,USA,North America,1,Electronics,77.4044176,82.18022295,64.94203015,81.74377869,0.5612,1091.59,0.57,0.59,2,1,29,26171,0.903299057,0.05,56.73083618,0.27,73.77303335,0.6,90.91,1,11363,Low,2.14E-05,0.858134104,0.001108097,0.58,0.324551102,34.32178717,73.10931723,74.47101508,8.865419883,2.078518519,0.658372607
SYN_SUP_04386,SYN_COM_04386,Synthetic Supplier 4386,Synthetic Commodity 4386,Japan,Asia-Pacific,3,Chemicals,68.53409761,78.61343712,74.52535532,79.27203474,0.5156,508.62,0.6,0.28,0,1,46,45427,0.909415041,0.05,63.79102037,1.18,97.70062738,0.18,67.49,1,3417,Low,1.14E-05,0.863944289,0.001012614,0.44,0,66.60306584,41.12045856,70.86267766,27.64600311,0.436949153,0.430695404
SYN_SUP_04387,SYN_COM_04387,Synthetic Supplier 4387,Synthetic Commodity 4387,India,Asia-Pacific,3,Agriculture,62.79569112,60.3754306,43.27143936,74.43926686,0.1337,599.99,0.6,0.58,2,1,39,5661,0.843042668,0.04,77.70241732,1.32,92.31623257,0.77,73.68,1,686,Moderate,2.36E-05,0.809320961,0.006889242,0.59,0.4192413,44.49734144,64.34408134,67.03571968,9.261089909,0.101287879,0.183030279
SYN_SUP_04388,SYN_COM_04388,Synthetic Supplier 4388,Synthetic Commodity 4388,USA,North America,2,Electronics,75.17303568,63.60505605,66.70739129,63.03440977,0.3787,909.54,0.6,0.19,3,1,42,28546,0.881802236,0.03,80.20219073,0.29,73.35696448,0.66,75.43,1,856,Moderate,1.33E-05,0.855348169,0.001471309,0.395,0.68600797,22.50693751,85.10382141,76.55369565,8.865419883,1.305862069,0.385560626
SYN_SUP_04389,SYN_COM_04389,Synthetic Supplier 4389,Synthetic Commodity 4389,Malaysia,Asia-Pacific,1,Electronics,45.29677407,60.85651378,54.03283969,57.34510717,0.6052,227.58,0.64,0.62,2,1,41,17149,0.911709165,0.023,78.02142047,1.33,75.19371674,0.73,93.93,1,9735,Moderate,3.53E-05,0.890739854,0.00239081,0.63,0.463311925,62.55946241,53.84473111,71.61641984,19.51874501,0.455037594,0.515295877
SYN_SUP_04390,SYN_COM_04390,Synthetic Supplier 4390,Synthetic Commodity 4390,Brazil,South America,3,Electronics,68.54686742,60.13908577,61.36751491,35.25370416,0.5374,119.18,0.67,0.73,0,1,29,15857,0.849201834,0.025,100,1.24,64.33820889,0.59,82.76,1,11380,Moderate,3.39E-05,0.827971788,0.001828845,0.7,0,68.0435964,41.12812045,72.48375746,14.99576555,0.433387097,0.476569315
SYN_SUP_04391,SYN_COM_04391,Synthetic Supplier 4391,Synthetic Commodity 4391,Brazil,South America,2,Metals,60.95016727,63.57525708,56.6502427,63.48103082,0.7944,808.98,0.58,0.07,0,0,18,12426,0.859032627,0.057,57.99124382,0.92,60.92593741,0.58,57.72,0,3958,Moderate,6.39E-05,0.810067767,0.001448576,0.325,0,72.32744145,36.57010036,69.92512135,14.99576555,0.863478261,0.656578197
SYN_SUP_04392,SYN_COM_04392,Synthetic Supplier 4392,Synthetic Commodity 4392,Indonesia,Asia-Pacific,3,Metals,81.23634866,82.4151254,89.72907483,66.20994578,0.484,892.19,0.44,0.03,0,0,13,24897,0.902647487,0.039,80.79114358,0.98,81.29441177,0.85,82.63,1,9722,Low,1.94E-05,0.867444235,0.000522151,0.235,0,58.36727797,48.7418092,91.86453742,35.15983525,0.493877551,0.557055154
SYN_SUP_04393,SYN_COM_04393,Synthetic Supplier 4393,Synthetic Commodity 4393,Brazil,South America,2,Agriculture,47.83950659,35.66937604,57.40487706,27.56239,0.2446,1272.74,0.46,0.32,0,1,18,33399,0.887312153,0.05,90.83999877,0.21,99.44132505,0.26,53.54,2,7342,Moderate,7.32E-06,0.842946545,0.000538938,0.39,0,52.52117269,28.70370396,63.90243853,14.99576555,1.164761905,0.449178983
SYN_SUP_04394,SYN_COM_04394,Synthetic Supplier 4394,Synthetic Commodity 4394,India,Asia-Pacific,2,Electronics,66.90019505,62.11084849,66.09681077,54.50030901,0.27,228.97,0.55,0.3,3,0,47,24751,0.903714686,0.02,73.82125619,0.68,72.38216058,0.73,54.02,1,3593,Moderate,1.09E-05,0.885640392,0.001898913,0.425,0.653790863,28.53493173,80.14011703,77.64840538,9.261089909,0.397058824,0.237306506
SYN_SUP_04395,SYN_COM_04395,Synthetic Supplier 4395,Synthetic Commodity 4395,indonesia,Asia-Pacific,3,Metals,68.26328318,71.83265117,77.81634604,79.03543308,0.5018,839.53,0.58,0.38,2,1,37,42147,0.894409635,0.014,90.67264125,1.22,43.58910628,0.59,54.82,1,10158,Low,1.19E-05,0.8818879,0.00087788,0.48,0.533087368,50.28618422,67.62463658,80.70817302,57.12350272,0.411311475,0.564125241
SYN_SUP_04396,SYN_COM_04396,Synthetic Supplier 4396,Synthetic Commodity 4396,Indonesia,Asia-Pacific,3,Electronics,71.26085858,47.56258237,71.02904276,59.6348653,0.9084,455.05,0.61,0.34,2,1,32,23997,0.974823512,0.035,54.42374281,1,64.62669944,0.61,43.59,1,784,Moderate,3.79E-05,0.94070469,0.0013335,0.475,0.341311134,56.10203283,69.42318181,77.71452138,35.15983525,0.9084,0.624079058
SYN_SUP_04397,SYN_COM_04397,Synthetic Supplier 4397,Synthetic Commodity 4397,Japan,Asia-Pacific,2,Food & Beverage,74.8661837,41.41836739,77.31728505,89.2462826,0.9293,142.32,0.48,0.42,0,1,14,16328,0.820173458,0.024,82.80428846,1.28,99.2846955,0.8,53.99,1,10541,Low,5.69E-05,0.800489295,0.000857423,0.45,0,76.2293357,44.91971022,84.65864252,27.64600311,0.726015625,0.705167726
SYN_SUP_04398,SYN_COM_04398,Synthetic Supplier 4398,Synthetic Commodity 4398,Indonesia,Asia-Pacific,3,Electronics,61.69606942,54.58669211,61.92176114,76.83477916,0.6914,931.88,0.45,0.37,0,1,42,22771,0.811664589,0.05,52.33010652,0.91,72.79988652,0.39,51.42,3,2418,Moderate,3.04E-05,0.771081359,0.001844451,0.41,0,69.3413757,37.01764165,68.76088057,35.15983525,0.75978022,0.596644161
SYN_SUP_04399,SYN_COM_04399,Synthetic Supplier 4399,Synthetic Commodity 4399,Malaysia,Asia-Pacific,3,Electronics,74.1959317,92.99169947,85.81815505,66.89520647,0.8235,1193.89,0.74,0.43,2,1,13,27063,0.952170682,0.036,63.37026172,1.8,86.86706483,0.58,77.86,1,727,Low,3.04E-05,0.917892537,0.000480361,0.585,0.387780602,64.95225724,71.18422569,84.50907752,19.51874501,0.4575,0.699870311
SYN_SUP_04400,SYN_COM_04400,Synthetic Supplier 4400,Synthetic Commodity 4400,Brazil,Asia-Pacific,2,Food & Beverage,42.81406589,29.33688554,41.46742128,59.02783382,0.7446,1135.52,0.77,0.37,2,0,11,41795,0.849969774,0.05,79.7857703,1.04,97.86093517,0.76,56.67,1,4814,Moderate,1.78E-05,0.807471286,0.000263189,0.57,0.429498123,62.56341027,52.3551062,65.93371064,18.22248311,0.715961538,0.693771569
SYN_SUP_04401,SYN_COM_04401,Synthetic Supplier 4401,Synthetic Commodity 4401,Brazil,South America,2,Agriculture,63.90537375,48.43470269,55.05726475,40.39162012,0.5483,1279.38,0.34,0.36,2,1,39,20247,0.884430343,0.035,94.83108981,0.21,71.20753887,0.15,51.87,3,11788,Moderate,2.71E-05,0.853475281,0.001926211,0.35,0.539573274,37.82395252,65.00989092,60.52863237,14.99576555,2.610952381,0.688361229
