Supplier_ID,Supplier_Name,Country,Industry_Sector,ESG_Score,Carbon_Emission_tCO2e,Waste_Management_Score,Water_Usage_m3,Energy_Consumption_MWh,Compliance_Status,Certifications,Lead_Time_Days,Production_Capacity_Units,On_Time_Delivery_Rate,Defect_Rate_Percent,Financial_Stability_Index,Sustainability_Report_Submitted,GHG_Reduction_Target_Percent,Renewable_Energy_Use_Percent,Employee_Training_Hours,Supplier_Tier
S01387,Supplier_1387,Malaysia,Metals,49.2,4532.12,38.93,40397.27,8910.07,Compliant,ISO 45001,6.91,59451.94,80.26,3.64,0.3,Yes,41.5,25.26,172.28,Tier 1
S01388,Supplier_1388,India,Electronics,65.2,4468.56,93.95,100123.36,5470.2,Partially Compliant,ISO 9001,56.32,193442.22,86.75,3.78,0.68,No,38.37,19.9,57.55,Tier 2
S01389,Supplier_1389,India,Electronics,51.92,N/A,95.42,35041.67,2964.09,Compliant,ISO 14001,38.44,385047.77,86.97,1.45,0.92,Yes,36.25,38.32,65.0,Tier 1
S01390,Supplier_1390,Vietnam,FMCG,81.77,3908.63,64.21,60793.06,7048.51,Compliant,None,79.11,33745.29,89.18,2.17,0.52,No,1.29,61.0,190.55,Tier 2
S01391,Supplier_1391,Malaysia,Automotive,80.48,N/A,63.37,84047.48,7601.23,Compliant,None,44.11,227135.92,91.19,3.32,1.02,Yes,23.2,39.57,50.78,Tier 1
S01392,Supplier_1392,Indonesia,Metals,46.3,1346.2,56.88,60829.33,7714.97,Partially Compliant,ISO 9001,37.11,156196.15,78.96,4.91,0.51,No,31.51,13.81,64.16,Tier 2
S01393,Supplier_1393,India,Chemicals,71.94,1507.41,81.41,33562.43,3539.26,Non-Compliant,ISO 14001,51.1,4110.98,85.09,4.79,1.02,Yes,50.56,100.43,186.62,Tier 2
S01394,Supplier_1394,Singapore,Electronics,44.03,3371.35,64.7,67683.39,2371.22,Non-Compliant,None,84.76,450492.37,83.58,0.93,0.38,No,0.15,44.45,25.77,Tier 3
S01395,Supplier_1395,Indonesia,Metals,64.1,3607.77,78.14,43911.55,703.67,Partially Compliant,ISO 14001,66.28,397243.98,84.54,2.79,0.82,Yes,26.06,37.82,128.54,Tier 3
S01396,Supplier_1396,Vietnam,Electronics,54.27,4032.08,29.37,35236.67,1058.7,,None,40.4,9191.51,94.22,4.73,0.7,Yes,32.32,47.21,138.23,Tier 3
S01397,Supplier_1397,Vietnam,Automotive,87.34,2091.6,40.01,89537.04,190.26,Compliant,ISO 14001,87.25,312138.86,79.53,2.28,0.85,Yes,8.57,32.17,106.81,Tier 2
S01398,Supplier_1398,Indonesia,FMCG,65.59,4418.92,79.84,12354.0,9606.26,Compliant,ISO 14001,46.35,253781.63,88.84,2.29,0.47,Yes,25.94,52.27,112.46,Tier 1
S01399,Supplier_1399,Malaysia,Plastics,85.15,2200.61,70.53,99807.79,2491.24,Compliant,ISO 14001,69.31,39083.05,78.97,3.94,0.91,No,41.72,10.97,187.89,Tier 1
S01400,Supplier_1400,Thailand,Plastics,76.57,3897.79,82.57,48964.3,6500.93,Partially Compliant,None,62.15,284696.77,81.26,3.58,0.49,No,33.53,42.32,59.23,Tier 2
S01401,Supplier_1401,India,Electronics,67.6,152.98,56.5,26286.05,3929.59,Non-Compliant,None,60.14,354329.88,80.45,2.07,0.47,No,27.64,44.0,19.06,Tier 2
S01402,Supplier_1402,Malaysia,Metals,74.79,2684.14,50.24,41676.14,7606.31,Compliant,ISO 14001,23.88,270521.22,88.26,3.02,0.62,Yes,28.65,65.92,62.68,Tier 3
S01403,Supplier_1403,,Plastics,87.7,4600.85,34.4,45769.99,5776.54,Compliant,ISO 9001,20.59,227201.81,91.99,2.87,0.38,No,10.87,20.44,11.37,Tier 3
S01404,Supplier_1404,Vietnam,Chemicals,52.1,2511.94,55.07,67022.62,5260.25,Non-Compliant,ISO 9001,12.0,323533.82,82.84,4.8,0.49,No,31.44,8.55,0.78,Tier 1
S01405,Supplier_1405,Thailand,Textiles,67.11,1642.76,42.12,85163.58,7009.16,Compliant,ISO 45001,67.75,437629.84,78.82,2.26,0.9,Yes,6.53,32.61,18.94,Tier 1
S01406,Supplier_1406,Thailand,Automotive,56.32,2222.85,34.74,41859.14,6437.06,Compliant,ISO 45001,32.63,171327.3,87.41,0.76,0.56,Yes,37.13,63.24,59.96,Tier 1
S01407,Supplier_1407,Malaysia,Plastics,53.87,561.67,75.45,20845.15,759.6,,ISO 9001,83.45,107726.63,90.93,2.0,0.34,Yes,44.81,92.78,31.03,Tier 2
S01408,Supplier_1408,Thailand,Textiles,38.54,2414.78,85.46,68322.67,9406.02,Partially Compliant,None,19.13,231987.02,74.85,1.49,0.56,Yes,36.8,82.98,106.89,Tier 3
S01409,Supplier_1409,Thailand,Plastics,87.43,2322.37,38.23,91801.44,7570.51,Compliant,ISO 9001,25.48,88925.44,85.56,3.9,0.59,Yes,27.92,41.68,179.72,Tier 3
S01410,Supplier_1410,Singapore,Electronics,63.56,2693.52,99.52,16202.64,3688.79,Non-Compliant,ISO 14001,90.1,494074.74,87.53,2.48,0.79,No,1.84,36.41,114.42,Tier 3
S01411,Supplier_1411,China,,48.32,897.99,31.78,77812.74,6735.23,Non-Compliant,None,28.76,83639.84,74.22,1.55,0.37,,26.54,0.35,175.43,Tier 1
S01412,Supplier_1412,China,Chemicals,48.49,3084.73,62.14,90856.97,9168.43,Non-Compliant,ISO 45001,17.58,98133.39,69.16,4.18,0.74,Yes,11.08,14.97,21.12,Tier 2
S01413,Supplier_1413,Vietnam,Chemicals,88.55,874.95,86.89,6824.66,1041.67,Partially Compliant,ISO 45001,54.81,246887.4,77.62,5.03,0.88,Yes,49.12,26.03,197.56,Tier 1
S01414,Supplier_1414,India,Textiles,78.14,3251.81,72.61,63616.27,9418.79,Partially Compliant,ISO 14001,37.89,63684.47,84.16,3.64,0.45,No,22.49,34.91,166.69,Tier 1
S01415,Supplier_1415,China,Metals,58.29,1339.7,48.35,60925.46,4625.16,Non-Compliant,ISO 14001,81.69,409699.95,100.52,1.77,0.92,No,38.78,12.68,136.38,Tier 3
S01416,Supplier_1416,Thailand,FMCG,57.45,3886.77,79.15,57625.08,5626.57,Partially Compliant,ISO 14001,42.03,214441.18,71.94,4.81,0.88,Yes,31.15,93.59,18.3,Tier 2
S01417,Supplier_1417,,Metals,60.03,2012.64,67.57,62664.97,2591.56,Non-Compliant,None,12.23,427057.82,96.49,0.82,0.56,No,9.9,8.6,81.3,Tier 2
S01418,Supplier_1418,Indonesia,Plastics,57.42,570.84,40.59,74027.95,6051.82,Non-Compliant,None,77.67,391785.58,71.54,2.55,0.89,Yes,47.57,19.8,108.09,Tier 2
S01419,Supplier_1419,Thailand,Metals,89.64,300.55,55.49,50777.4,9771.64,Compliant,None,68.05,309551.65,91.58,1.78,0.62,No,1.51,79.78,65.39,Tier 1
S01420,Supplier_1420,Malaysia,Electronics,49.42,3219.57,31.85,80043.17,5599.07,Non-Compliant,ISO 45001,24.1,185685.0,71.03,3.73,0.67,No,21.5,33.05,65.29,Tier 1
S01421,Supplier_1421,Vietnam,Plastics,87.59,5041.14,35.58,7145.62,4451.6,Partially Compliant,ISO 9001,40.79,430020.33,71.08,3.75,0.65,Yes,26.91,98.84,202.75,Tier 3
S01422,Supplier_1422,India,FMCG,62.75,3269.99,81.86,77656.96,5464.0,Partially Compliant,ISO 45001,37.13,475200.74,73.03,1.62,0.85,No,27.29,66.23,190.7,Tier 3
S01423,Supplier_1423,,Textiles,63.3,4342.13,92.83,46280.59,3822.18,Compliant,ISO 9001,80.2,214508.36,95.99,2.32,0.71,No,27.59,17.88,76.51,Tier 3
S01424,Supplier_1424,Malaysia,Plastics,95.4,4132.03,68.49,77999.03,1385.92,Partially Compliant,,34.6,188492.9,93.7,1.42,0.59,No,41.42,60.17,174.67,
S01425,Supplier_1425,Vietnam,Automotive,44.69,2137.76,50.2,64222.59,6796.64,Compliant,None,35.52,393242.94,76.9,4.67,0.31,No,29.86,17.47,70.47,Tier 3
S01426,Supplier_1426,India,Electronics,51.91,N/A,44.9,19914.0,9229.24,Compliant,None,78.5,494459.73,84.09,3.56,0.95,No,20.55,7.92,95.85,Tier 2
S01427,Supplier_1427,,Chemicals,88.47,1540.03,55.87,30740.18,2343.36,Partially Compliant,,5.37,447003.19,99.41,1.82,0.8,Yes,30.71,24.3,34.75,Tier 3
S01428,Supplier_1428,Thailand,Plastics,56.68,1902.02,90.1,15278.71,7357.53,Partially Compliant,ISO 45001,70.1,240729.27,75.96,3.41,0.35,No,17.0,79.36,22.45,Tier 3
S01429,Supplier_1429,Malaysia,Metals,85.06,3205.63,99.24,52206.5,644.56,Partially Compliant,None,62.35,191578.96,75.54,2.3,0.88,No,17.68,19.64,168.39,Tier 1
S01430,Supplier_1430,Vietnam,Automotive,63.89,825.57,46.17,30779.79,5454.75,Partially Compliant,ISO 9001,14.68,435282.66,90.22,0.47,0.37,No,47.43,57.92,87.88,Tier 1
S01431,Supplier_1431,Thailand,Metals,61.07,2230.91,91.37,32205.51,8228.53,Non-Compliant,ISO 45001,12.95,71464.97,87.97,1.99,0.74,No,38.98,70.38,135.3,Tier 1
S01432,Supplier_1432,Malaysia,Plastics,67.92,1665.77,62.99,75096.95,6956.48,Partially Compliant,ISO 45001,53.99,42858.75,81.09,2.53,0.31,No,12.2,100.51,87.97,Tier 1
S01433,Supplier_1433,China,Automotive,70.59,632.8,58.76,76648.63,6078.05,Compliant,ISO 45001,23.47,54940.94,68.72,2.68,0.53,Yes,12.64,22.76,47.27,
S01434,Supplier_1434,India,FMCG,56.82,3870.87,56.73,79255.22,1426.51,Compliant,ISO 45001,82.07,332139.64,86.64,0.73,0.68,No,15.34,9.82,58.41,Tier 1
S01435,Supplier_1435,Thailand,Chemicals,73.36,3994.31,35.76,99276.05,7470.95,Non-Compliant,ISO 14001,82.7,278575.71,97.51,2.64,0.53,Yes,48.13,72.46,164.46,Tier 2
S01436,Supplier_1436,,Metals,82.22,2258.95,31.94,73386.73,4947.81,Compliant,ISO 9001,78.2,144070.25,75.23,1.3,0.99,Yes,19.09,74.96,130.4,Tier 1
S01437,Supplier_1437,Indonesia,Textiles,57.85,3479.22,69.75,59877.43,2082.05,Compliant,ISO 14001,50.46,228762.96,74.18,2.76,0.73,Yes,5.44,83.13,125.41,Tier 3
S01438,Supplier_1438,Malaysia,Textiles,92.11,3727.53,43.76,22338.05,2433.09,Non-Compliant,ISO 9001,27.29,367453.9,82.48,0.89,0.35,Yes,22.17,52.8,11.85,Tier 2
S01439,Supplier_1439,China,Automotive,75.51,572.69,88.43,13211.18,3987.06,Non-Compliant,ISO 45001,53.83,488510.53,86.91,1.31,0.72,No,24.35,5.76,112.88,Tier 2
S01440,Supplier_1440,Vietnam,Automotive,67.99,3831.63,38.13,68038.94,1031.1,Partially Compliant,None,55.0,379600.73,94.64,1.2,0.31,Yes,20.8,42.18,102.81,Tier 1
S01441,Supplier_1441,India,Metals,84.01,3562.82,39.71,90278.81,308.6,Non-Compliant,ISO 14001,32.03,25131.09,95.21,4.48,0.6,No,19.21,1.67,36.22,Tier 3
S01442,Supplier_1442,Indonesia,,70.33,2719.08,75.26,43896.63,5165.96,Partially Compliant,ISO 45001,25.08,134494.67,98.43,1.15,0.61,Yes,2.76,104.26,91.83,Tier 3
S01443,Supplier_1443,Vietnam,Textiles,44.34,5123.58,79.47,14070.29,7376.26,Compliant,ISO 14001,36.8,489402.3,93.89,4.18,0.74,No,20.12,73.84,162.86,Tier 3
S01444,Supplier_1444,India,,57.57,2970.68,72.76,70349.79,5342.21,Partially Compliant,None,35.84,113987.67,98.97,1.82,0.35,No,35.15,79.76,131.24,Tier 1
S01445,Supplier_1445,Thailand,Chemicals,95.07,3737.38,69.4,7882.83,6828.69,Partially Compliant,ISO 14001,77.8,209468.55,94.25,3.59,0.49,,39.18,31.35,43.7,Tier 2
S01446,Supplier_1446,Indonesia,FMCG,76.43,3753.85,53.06,19830.7,7539.16,Non-Compliant,ISO 9001,62.91,310561.8,76.96,4.75,0.95,Yes,19.22,49.29,35.83,Tier 2
S01447,Supplier_1447,Malaysia,Electronics,51.56,3235.81,97.37,72226.98,8301.29,Compliant,,8.94,412328.0,104.39,3.14,0.91,No,20.09,59.84,86.71,Tier 2
S01448,Supplier_1448,China,Textiles,58.24,3726.01,39.27,85865.96,9179.85,Partially Compliant,None,87.27,135158.57,73.55,3.96,0.53,Yes,17.34,73.08,35.26,Tier 3
S01449,Supplier_1449,Malaysia,Chemicals,69.67,3380.74,54.77,46708.07,8637.82,Non-Compliant,ISO 9001,92.89,7605.77,84.96,2.09,0.69,Yes,20.5,31.12,185.51,Tier 1
S01450,Supplier_1450,Thailand,Chemicals,84.46,145.99,96.69,7614.24,527.79,Non-Compliant,ISO 14001,17.75,180497.66,94.7,0.4,0.58,Yes,49.28,77.26,42.36,Tier 2
S01451,Supplier_1451,China,Metals,86.72,665.45,55.19,56827.67,9950.68,Non-Compliant,ISO 14001,62.21,50552.01,85.09,3.99,0.74,Yes,39.4,44.47,141.24,Tier 3
S01452,Supplier_1452,Thailand,Chemicals,43.61,4853.0,61.73,49064.5,3173.58,Compliant,ISO 45001,34.74,308198.0,83.87,3.63,0.84,No,28.52,98.3,110.69,Tier 1
S01453,Supplier_1453,India,Chemicals,88.35,1294.87,74.96,35994.38,493.63,Compliant,ISO 14001,73.07,379811.4,86.81,2.91,0.83,No,30.49,67.68,51.04,Tier 3
S01454,Supplier_1454,Singapore,Metals,73.84,1905.79,74.88,14844.98,2338.44,Compliant,ISO 14001,51.27,186340.04,94.72,0.14,0.94,No,38.8,14.06,34.47,Tier 3
S01455,Supplier_1455,,Plastics,86.49,3790.03,80.34,19012.63,2631.38,Non-Compliant,ISO 14001,7.46,43812.7,94.75,0.29,0.41,No,39.76,45.44,135.47,Tier 1
S01456,Supplier_1456,Indonesia,Metals,73.69,2060.89,66.96,82322.53,5291.95,Non-Compliant,ISO 14001,86.87,383825.16,75.06,0.79,0.74,,43.33,9.1,146.43,Tier 3
S01457,Supplier_1457,Vietnam,Electronics,91.15,3911.97,59.88,83544.08,4261.22,Non-Compliant,ISO 14001,15.59,446483.88,90.33,3.75,0.95,No,18.1,37.89,3.5,Tier 2
S01458,Supplier_1458,India,Metals,86.72,3489.87,41.66,16937.3,9908.12,Non-Compliant,ISO 9001,69.96,401259.0,95.71,1.91,0.75,,17.15,61.4,77.11,Tier 1
S01459,Supplier_1459,India,,62.01,N/A,N/A,65425.07,111.81,Partially Compliant,ISO 45001,52.14,75072.6,81.86,4.71,0.31,No,36.67,89.42,62.73,Tier 2
S01460,Supplier_1460,Malaysia,FMCG,43.11,2244.82,53.45,30541.61,2137.85,Non-Compliant,None,16.47,231291.87,82.19,2.44,0.67,Yes,27.76,71.4,29.48,Tier 2
S01461,Supplier_1461,Malaysia,Metals,85.38,4330.46,89.0,31794.5,6267.71,Partially Compliant,None,40.13,416349.48,69.9,0.75,0.79,Yes,15.03,37.59,81.63,Tier 1
S01462,Supplier_1462,Thailand,Textiles,66.24,425.27,60.1,61482.87,9419.2,Partially Compliant,ISO 14001,7.79,242757.03,82.2,1.05,0.88,Yes,26.83,71.68,79.46,Tier 2
S01463,Supplier_1463,Malaysia,Automotive,62.67,1658.19,40.45,3905.65,4287.1,Compliant,None,88.22,155703.87,86.98,3.04,0.77,Yes,8.05,10.0,29.87,Tier 3
S01464,Supplier_1464,Malaysia,Textiles,64.35,929.04,89.1,81901.9,5508.77,,ISO 45001,77.31,86833.82,94.02,2.57,0.46,No,15.92,26.84,173.82,Tier 1
S01465,Supplier_1465,Indonesia,Automotive,77.01,3348.87,73.03,41963.91,8356.79,Non-Compliant,ISO 14001,66.81,76594.31,87.83,3.56,0.93,No,43.92,5.45,53.5,Tier 1
S01466,Supplier_1466,,FMCG,66.92,3216.61,74.15,75276.43,6598.85,Non-Compliant,ISO 9001,6.54,383248.22,101.37,3.44,0.55,Yes,3.18,85.8,14.46,Tier 1
S01467,Supplier_1467,Vietnam,FMCG,68.23,4585.19,82.75,9742.31,4708.83,Partially Compliant,None,44.99,64257.55,90.35,4.77,0.56,No,30.64,56.86,128.73,Tier 1
S01468,Supplier_1468,Indonesia,Metals,77.85,3247.04,73.99,19617.25,215.0,Non-Compliant,ISO 9001,43.46,107573.74,83.79,0.76,0.48,Yes,0.42,94.15,152.92,Tier 2
S01469,Supplier_1469,Indonesia,Plastics,67.56,766.22,68.2,3877.26,990.97,Partially Compliant,None,77.55,286931.73,80.28,2.94,0.83,,25.12,7.59,7.83,Tier 2
S01470,Supplier_1470,Singapore,FMCG,48.28,677.54,96.65,60224.04,6568.26,Partially Compliant,ISO 14001,52.61,102179.17,89.03,1.91,0.99,Yes,3.9,25.32,131.93,Tier 3
S01471,Supplier_1471,Vietnam,FMCG,56.51,1701.15,73.14,70290.48,2520.17,Compliant,ISO 45001,57.57,125011.64,96.68,3.82,0.62,No,20.47,33.6,188.67,Tier 2
S01472,Supplier_1472,Singapore,Electronics,42.06,1599.08,87.44,102504.5,4057.24,Partially Compliant,ISO 45001,36.28,102694.3,97.59,5.04,0.79,No,32.62,33.56,155.85,Tier 3
S01473,Supplier_1473,India,FMCG,53.56,1968.76,32.65,83827.73,345.18,Compliant,ISO 45001,31.12,88949.37,81.56,2.89,0.47,Yes,31.81,70.67,149.56,
S01474,Supplier_1474,Indonesia,Automotive,67.07,3114.75,86.57,21806.84,9125.6,Compliant,,82.36,288449.75,93.58,2.85,0.99,Yes,36.91,96.23,92.47,Tier 3
S01475,Supplier_1475,China,Plastics,84.97,1807.73,76.29,33584.17,1059.11,Compliant,None,37.14,478865.63,99.37,3.22,0.56,Yes,34.24,47.48,7.3,Tier 2
S01476,Supplier_1476,Thailand,Metals,66.69,2000.89,62.88,37214.93,4896.46,Partially Compliant,ISO 14001,49.1,113933.54,76.69,2.7,0.98,No,1.68,26.5,126.02,Tier 1
S01477,Supplier_1477,Vietnam,Automotive,72.34,3229.9,92.8,93137.91,7056.87,Non-Compliant,None,82.71,30909.87,86.2,4.68,0.89,Yes,23.39,66.2,106.4,Tier 1
S01478,Supplier_1478,Indonesia,Metals,64.45,1536.68,72.69,77427.52,292.72,Compliant,ISO 45001,89.27,83276.15,99.63,0.2,0.44,Yes,4.65,65.8,185.96,Tier 2
S01479,Supplier_1479,China,Plastics,97.21,1128.04,83.65,30914.97,9035.16,Non-Compliant,None,62.54,245473.62,95.3,4.46,0.78,No,13.69,86.63,0.14,Tier 3
S01480,Supplier_1480,Malaysia,Chemicals,61.76,396.26,32.01,15789.56,7921.53,Compliant,ISO 9001,12.93,353828.03,100.7,0.83,1.02,Yes,17.91,99.25,166.76,Tier 3
S01481,Supplier_1481,Malaysia,Electronics,38.29,1748.64,86.0,99095.12,6576.8,Compliant,ISO 14001,57.59,323537.59,90.85,3.06,1.0,Yes,39.82,57.28,55.88,Tier 2
S01482,Supplier_1482,Singapore,Plastics,82.75,3075.59,83.03,81541.0,7603.51,Compliant,ISO 9001,83.74,81911.55,68.3,4.16,0.45,Yes,24.49,23.12,144.02,Tier 2
S01483,Supplier_1483,Singapore,Plastics,42.2,309.67,102.26,38352.84,960.96,Compliant,None,23.69,58891.03,90.9,3.65,0.84,No,28.45,66.86,87.15,
S01484,Supplier_1484,,,64.9,4141.78,73.57,55127.54,4746.96,Compliant,,67.47,504789.2,80.08,0.86,0.47,No,21.59,49.83,111.17,Tier 2
S01485,Supplier_1485,China,Electronics,72.39,1025.95,96.52,57651.16,6519.0,Non-Compliant,ISO 14001,77.12,364547.89,77.52,2.52,0.52,Yes,6.25,65.55,63.97,Tier 3
S01486,Supplier_1486,Singapore,Metals,70.56,2833.63,69.65,13583.57,7176.85,Partially Compliant,ISO 9001,18.77,434289.55,95.31,3.53,0.7,No,34.96,79.39,79.92,Tier 1
S01487,Supplier_1487,Thailand,Textiles,83.33,399.85,51.69,4624.5,5506.38,Partially Compliant,ISO 45001,74.71,294091.8,97.19,4.44,0.59,No,11.18,16.23,33.71,Tier 2
S01488,Supplier_1488,India,Plastics,95.99,3786.16,N/A,32842.59,1749.1,Partially Compliant,ISO 14001,18.74,255622.57,100.07,2.29,0.44,Yes,17.01,0.79,90.45,Tier 2
S01489,Supplier_1489,Singapore,Plastics,41.42,3964.34,49.11,75247.62,7712.49,Non-Compliant,ISO 45001,84.51,31582.52,72.51,3.2,0.67,No,48.3,21.61,185.53,Tier 2
S01490,Supplier_1490,Singapore,Chemicals,50.38,3671.11,69.19,44350.87,7306.59,Compliant,ISO 45001,64.33,464059.94,91.81,2.5,0.95,No,44.36,15.0,112.57,Tier 3
S01491,Supplier_1491,Vietnam,Chemicals,50.16,3793.38,57.82,58121.57,2868.7,Partially Compliant,ISO 14001,31.06,358769.64,81.72,2.51,0.93,No,19.99,10.68,103.51,Tier 2
S01492,Supplier_1492,China,Electronics,47.03,4346.43,90.09,16059.58,193.9,Non-Compliant,None,77.33,201567.56,91.57,0.2,0.61,No,24.33,0.74,48.4,Tier 1
S01493,Supplier_1493,China,Electronics,61.32,631.52,75.78,55877.93,808.49,Compliant,None,91.54,175601.92,101.66,4.65,0.91,Yes,26.84,55.69,12.89,Tier 2
S01494,Supplier_1494,India,Textiles,87.43,1277.62,71.1,85741.14,5990.72,Compliant,,35.06,446498.95,80.75,0.72,0.32,,27.32,27.13,89.85,Tier 2
S01495,Supplier_1495,India,Electronics,62.41,2132.11,41.76,41224.5,5858.16,Partially Compliant,None,47.78,129027.93,92.26,2.44,0.98,No,35.95,87.8,27.19,Tier 1
S01496,Supplier_1496,Malaysia,FMCG,90.14,732.54,68.62,89041.49,7562.5,Non-Compliant,ISO 14001,6.55,255187.33,96.12,2.83,0.58,,33.73,41.77,50.93,Tier 2
S01497,Supplier_1497,China,Plastics,N/A,113.12,58.46,45929.44,132.47,Compliant,ISO 9001,9.39,471497.99,76.81,3.2,0.42,Yes,15.5,85.86,29.38,Tier 1
S01498,Supplier_1498,China,,63.78,1743.42,36.75,38523.54,3086.59,Compliant,ISO 14001,62.01,22092.47,93.97,4.7,0.86,No,31.94,8.0,71.81,Tier 1
S01499,Supplier_1499,Thailand,Metals,80.98,4399.46,57.4,36080.39,1947.7,Partially Compliant,None,8.25,475694.42,74.57,1.15,0.52,Yes,9.64,10.47,40.23,Tier 2
S01500,Supplier_1500,Singapore,Textiles,57.41,3704.38,74.95,30823.41,1171.64,Compliant,ISO 9001,23.35,137476.46,74.9,3.53,0.79,Yes,29.12,13.13,127.81,Tier 2
S01501,Supplier_1501,Malaysia,Plastics,89.07,2579.78,64.36,4544.2,8928.13,,None,59.49,60293.1,73.45,0.55,0.5,Yes,2.49,68.61,131.78,
S01502,Supplier_1502,Malaysia,FMCG,90.91,1480.63,92.63,26923.93,6737.38,Compliant,ISO 45001,35.03,76735.92,76.25,3.94,0.93,Yes,13.84,10.17,48.42,Tier 2
S01503,Supplier_1503,,Textiles,41.32,3551.53,62.12,64332.77,9349.27,Partially Compliant,ISO 9001,70.81,139969.34,89.26,2.13,0.9,Yes,3.75,72.46,52.88,Tier 2
S01504,Supplier_1504,China,,98.3,1620.1,53.07,34284.81,1092.64,Compliant,ISO 45001,36.64,302216.32,77.32,4.68,0.93,No,48.66,22.19,97.6,Tier 2
S01505,Supplier_1505,China,Metals,47.29,2299.37,50.14,72818.46,246.07,Non-Compliant,ISO 9001,30.51,325605.8,90.13,0.1,0.58,No,26.77,64.75,154.25,Tier 1
S01506,Supplier_1506,Vietnam,Plastics,72.08,4971.08,77.0,53662.58,8995.77,Compliant,ISO 14001,18.87,92756.52,69.18,0.13,0.34,No,39.12,26.89,57.01,Tier 3
S01507,Supplier_1507,Indonesia,Textiles,78.1,1555.36,62.46,60392.73,3027.03,Non-Compliant,None,61.48,516418.33,82.34,4.44,0.95,No,9.59,35.33,186.71,Tier 1
S01508,Supplier_1508,India,Textiles,94.03,N/A,72.01,70210.53,4046.11,Partially Compliant,ISO 9001,35.89,507861.68,82.91,4.29,0.59,No,35.27,13.68,181.91,Tier 1
S01509,Supplier_1509,Indonesia,Plastics,86.93,3919.73,71.28,94107.79,969.6,Partially Compliant,ISO 14001,36.27,403605.25,89.61,3.89,0.58,Yes,25.97,4.36,95.18,Tier 1
S01510,Supplier_1510,Singapore,Automotive,65.78,1103.97,56.14,4314.74,5969.74,Non-Compliant,ISO 14001,30.82,361276.68,73.07,2.59,0.65,No,0.62,88.27,30.66,Tier 1
S01511,Supplier_1511,Thailand,Automotive,74.66,3552.16,89.11,12635.18,9001.55,Partially Compliant,ISO 45001,37.93,223374.21,76.37,0.8,0.49,No,38.79,30.03,183.08,Tier 2
S01512,Supplier_1512,China,Plastics,94.05,1416.59,72.33,36265.81,5302.31,Compliant,ISO 14001,27.4,101283.46,70.58,4.15,0.57,No,41.91,60.81,153.41,Tier 3
S01513,Supplier_1513,China,Chemicals,66.71,2012.96,48.39,60918.72,5067.25,Partially Compliant,ISO 9001,29.54,474607.08,91.67,2.03,0.86,No,17.87,9.65,66.27,
S01514,Supplier_1514,,Automotive,40.94,3655.63,83.05,49823.24,3773.07,Compliant,ISO 45001,91.49,32121.27,97.17,1.69,0.67,Yes,22.58,2.23,43.49,Tier 2
S01515,Supplier_1515,Singapore,Automotive,49.0,126.12,55.65,85267.3,4018.23,,ISO 14001,40.13,298864.27,86.5,3.35,0.59,No,0.01,38.61,170.47,
S01516,Supplier_1516,,Plastics,55.98,1166.93,40.38,40874.32,4542.23,Non-Compliant,ISO 9001,78.67,393633.09,84.95,0.82,0.89,No,50.14,63.5,60.45,
S01517,Supplier_1517,Thailand,Metals,60.6,810.16,79.8,19992.91,8216.08,Non-Compliant,ISO 14001,85.44,133736.23,78.72,0.24,0.43,No,3.62,39.34,61.71,Tier 1
S01518,Supplier_1518,India,FMCG,43.07,480.1,97.66,54101.7,2394.49,Non-Compliant,ISO 14001,85.81,469452.46,85.8,1.49,0.74,No,30.57,67.87,116.29,Tier 2
S01519,Supplier_1519,Vietnam,Chemicals,69.16,3989.24,50.36,9044.35,9562.6,,ISO 14001,89.29,70263.52,89.46,3.79,0.34,No,23.18,18.85,179.49,Tier 1
S01520,Supplier_1520,Singapore,Textiles,77.35,560.6,54.69,87347.14,3298.77,Compliant,ISO 45001,32.67,37155.59,75.56,4.22,0.98,Yes,22.87,20.89,192.86,Tier 3
S01521,Supplier_1521,Indonesia,FMCG,64.42,4687.81,89.94,24462.31,3661.69,Compliant,ISO 45001,34.43,87439.47,95.8,3.87,0.43,No,11.36,76.01,24.26,Tier 1
S01522,Supplier_1522,Malaysia,FMCG,95.59,3674.22,80.8,11207.45,2100.66,Compliant,ISO 14001,80.98,311453.47,76.75,0.8,0.5,Yes,34.97,73.68,131.42,Tier 2
S01523,Supplier_1523,China,Electronics,64.35,2696.73,89.54,90485.75,869.62,,None,65.27,408636.32,79.86,3.96,0.34,No,7.08,26.19,160.12,Tier 1
S01524,Supplier_1524,Thailand,Metals,50.04,2447.94,79.18,38447.51,7563.8,Partially Compliant,ISO 45001,87.18,78078.51,73.87,0.9,0.92,No,45.33,83.04,51.15,Tier 1
S01525,Supplier_1525,Malaysia,Plastics,94.15,2151.8,80.9,39837.83,7776.34,Compliant,None,19.03,500123.28,88.48,0.38,0.33,No,45.01,49.34,145.61,Tier 2
S01526,Supplier_1526,Vietnam,Chemicals,90.18,3648.14,90.06,28207.97,626.69,Non-Compliant,ISO 14001,75.51,152210.83,88.62,4.04,0.46,Yes,1.82,53.07,132.36,Tier 3
S01527,Supplier_1527,China,,95.69,3025.26,52.1,53559.66,6553.37,Compliant,ISO 14001,50.55,245918.11,77.38,0.76,0.69,No,29.05,54.94,38.56,Tier 2
